2014 WA Senate Election Senate First Preferences By Polling Place for Division 248 [Event:17875 Phase:FinalResults Generated:2014-05-28T13:16:55 Cycle:b2873105-897b-4558-a9e2-d17a83d40911 Created:2014-05-28T11:03:19 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.9.16053]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,248,Tangney,11635,Winthrop,I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,3
WA,248,Tangney,11635,Winthrop,I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,248,Tangney,11635,Winthrop,J,25422,0,J Ticket Votes,Liberal Democrats,65
WA,248,Tangney,11635,Winthrop,J,25318,1,"FRYAR, Jim",Liberal Democrats,1
WA,248,Tangney,11635,Winthrop,J,25319,2,"HAMILTON, Neil",Liberal Democrats,1
WA,248,Tangney,11635,Winthrop,K,25392,0,K Ticket Votes,Australian Voice Party,2
WA,248,Tangney,11635,Winthrop,K,25290,1,"PARKES, Brian W",Australian Voice Party,0
WA,248,Tangney,11635,Winthrop,K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,248,Tangney,11635,Winthrop,L,25402,0,L Ticket Votes,Building Australia Party,4
WA,248,Tangney,11635,Winthrop,L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,248,Tangney,11635,Winthrop,L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,248,Tangney,11635,Winthrop,M,25406,0,M Ticket Votes,Mutual Party,0
WA,248,Tangney,11635,Winthrop,M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,248,Tangney,11635,Winthrop,M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,248,Tangney,11635,Winthrop,N,25400,0,N Ticket Votes,Family First Party,13
WA,248,Tangney,11635,Winthrop,N,25336,1,"ROSE, Linda",Family First Party,1
WA,248,Tangney,11635,Winthrop,N,25337,2,"HENG, Henry",Family First Party,0
WA,248,Tangney,11635,Winthrop,O,25397,0,O Ticket Votes,#Sustainable Population Party,8
WA,248,Tangney,11635,Winthrop,O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,0
WA,248,Tangney,11635,Winthrop,O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,248,Tangney,11635,Winthrop,P,25410,0,P Ticket Votes,Palmer United Party,260
WA,248,Tangney,11635,Winthrop,P,25284,1,"WANG, Zhenya",Palmer United Party,3
WA,248,Tangney,11635,Winthrop,P,25285,2,"HEADLAND, Desmond John",Palmer United Party,0
WA,248,Tangney,11635,Winthrop,P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,0
WA,248,Tangney,11635,Winthrop,Q,25413,0,Q Ticket Votes,Australian Sports Party,6
WA,248,Tangney,11635,Winthrop,Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,2
WA,248,Tangney,11635,Winthrop,Q,25327,2,"LACKOVIC, Al",Australian Sports Party,0
WA,248,Tangney,11635,Winthrop,R,25395,0,R Ticket Votes,Liberal,1579
WA,248,Tangney,11635,Winthrop,R,25298,1,"JOHNSTON, David",Liberal,21
WA,248,Tangney,11635,Winthrop,R,25299,2,"CASH, Michaelia",Liberal,0
WA,248,Tangney,11635,Winthrop,R,25300,3,"REYNOLDS, Linda",Liberal,2
WA,248,Tangney,11635,Winthrop,R,25301,4,"BROCKMAN, Slade",Liberal,1
WA,248,Tangney,11635,Winthrop,S,25419,0,S Ticket Votes,Shooters and Fishers,6
WA,248,Tangney,11635,Winthrop,S,25316,1,"BOW, Murray",Shooters and Fishers,1
WA,248,Tangney,11635,Winthrop,S,25317,2,"PARKES, John",Shooters and Fishers,0
WA,248,Tangney,11635,Winthrop,T,25398,0,T Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,33
WA,248,Tangney,11635,Winthrop,T,25294,1,"MOYLAN, James M",Help End Marijuana Prohibition (HEMP) Party,4
WA,248,Tangney,11635,Winthrop,T,25295,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,248,Tangney,11635,Winthrop,U,25399,0,U Ticket Votes,Republican Party of Australia,2
WA,248,Tangney,11635,Winthrop,U,25350,1,"ANDERSON, Marcus",Republican Party of Australia,0
WA,248,Tangney,11635,Winthrop,U,25351,2,"HOLLICK, Rohan",Republican Party of Australia,0
WA,248,Tangney,11635,Winthrop,V,25416,0,V Ticket Votes,Smokers Rights,5
WA,248,Tangney,11635,Winthrop,V,25320,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,248,Tangney,11635,Winthrop,V,25321,2,"DI RADO, Daniel Jay",Smokers Rights,0
WA,248,Tangney,11635,Winthrop,W,25417,0,W Ticket Votes,Australian Fishing and Lifestyle Party,2
WA,248,Tangney,11635,Winthrop,W,25346,1,"McCARTHY, Daniel",Australian Fishing and Lifestyle Party,0
WA,248,Tangney,11635,Winthrop,W,25347,2,"WYATT, Suzzanne",Australian Fishing and Lifestyle Party,0
WA,248,Tangney,11635,Winthrop,X,25401,0,X Ticket Votes,Australian Christians,66
WA,248,Tangney,11635,Winthrop,X,25292,1,"MORAN, Ray",Australian Christians,7
WA,248,Tangney,11635,Winthrop,X,25293,2,"MOSELEY, Justin",Australian Christians,0
WA,248,Tangney,11635,Winthrop,Y,25415,0,Y Ticket Votes,Secular Party of Australia,2
WA,248,Tangney,11635,Winthrop,Y,25332,1,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,248,Tangney,11635,Winthrop,Y,25333,2,"THOMPSON, Andrew",Secular Party of Australia,0
WA,248,Tangney,11635,Winthrop,Z,25420,0,Z Ticket Votes,Rise Up Australia Party,10
WA,248,Tangney,11635,Winthrop,Z,25282,1,"FOREMAN, Jane Elizabeth",Rise Up Australia Party,1
WA,248,Tangney,11635,Winthrop,Z,25283,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,248,Tangney,11635,Winthrop,AA,25421,0,AA Ticket Votes,The Greens (WA),469
WA,248,Tangney,11635,Winthrop,AA,25304,1,"LUDLAM, Scott",The Greens (WA),36
WA,248,Tangney,11635,Winthrop,AA,25305,2,"CUNNINGHAM, Christine",The Greens (WA),0
WA,248,Tangney,11635,Winthrop,AA,25306,3,"JAMES, Ian",The Greens (WA),0
WA,248,Tangney,11635,Winthrop,AA,25307,4,"STEELE-JOHN, Jordon",The Greens (WA),0
WA,248,Tangney,11635,Winthrop,AA,25308,5,"NIELSEN-HARVEY, Sarah",The Greens (WA),1
WA,248,Tangney,11635,Winthrop,AA,25309,6,"CULLITY, Judith",The Greens (WA),1
WA,248,Tangney,11635,Winthrop,AB,25412,0,AB Ticket Votes,DLP Democratic Labour,4
WA,248,Tangney,11635,Winthrop,AB,25340,1,"GOOD, Adrian",DLP Democratic Labour,2
WA,248,Tangney,11635,Winthrop,AB,25341,2,"KIERNAN, Cathy",DLP Democratic Labour,0
WA,248,Tangney,11635,Winthrop,AC,25411,0,AC Ticket Votes,Katter's Australian Party,0
WA,248,Tangney,11635,Winthrop,AC,25348,1,"BOUWMAN, Phillip",Katter's Australian Party,0
WA,248,Tangney,11635,Winthrop,AC,25349,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,248,Tangney,11635,Winthrop,AD,25414,0,AD Ticket Votes,Animal Justice Party,19
WA,248,Tangney,11635,Winthrop,AD,25302,1,"LOVE, Katrina",Animal Justice Party,3
WA,248,Tangney,11635,Winthrop,AD,25303,2,"SUTTON, Alicia",Animal Justice Party,0
WA,248,Tangney,11635,Winthrop,AE,25407,0,AE Ticket Votes,Sex Party,14
WA,248,Tangney,11635,Winthrop,AE,25314,1,"PATTEN, Fiona",Sex Party,0
WA,248,Tangney,11635,Winthrop,AE,25315,2,"COLEMAN, Mark",Sex Party,1
WA,248,Tangney,11635,Winthrop,AF,25405,0,AF Ticket Votes,Socialist Alliance,1
WA,248,Tangney,11635,Winthrop,AF,25287,1,"BAINBRIDGE, Alex",Socialist Alliance,2
WA,248,Tangney,11635,Winthrop,AF,25288,2,"JENKINS, Chris",Socialist Alliance,0
WA,248,Tangney,11635,Winthrop,AG,25393,0,AG Ticket Votes,Outdoor Recreation Party (Stop The Greens),5
WA,248,Tangney,11635,Winthrop,AG,25322,1,"FISHLOCK, David",Outdoor Recreation Party (Stop The Greens),0
WA,248,Tangney,11635,Winthrop,AG,25323,2,"DE LIMA, Joaquim",Outdoor Recreation Party (Stop The Greens),0
WA,248,Tangney,11635,Winthrop,UG,25289,1,"VAN LIESHOUT, Teresa",Independent,1
WA,248,Tangney,11635,Winthrop,UG,25310,2,"MUBARAK, Kim",Independent,0
WA,248,Tangney,11635,Winthrop,ZZ,0,99,INFORMAL,,89
WA,248,Tangney,11907,Willetton North,A,25423,0,A Ticket Votes,The Wikileaks Party,5
WA,248,Tangney,11907,Willetton North,A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,0
WA,248,Tangney,11907,Willetton North,A,25313,2,"NICOL, Lucy",The Wikileaks Party,0
WA,248,Tangney,11907,Willetton North,B,25418,0,B Ticket Votes,The Nationals,5
WA,248,Tangney,11907,Willetton North,B,25334,1,"VAN STYN, Shane",The Nationals,1
WA,248,Tangney,11907,Willetton North,B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,0
WA,248,Tangney,11907,Willetton North,C,25408,0,C Ticket Votes,,7
WA,248,Tangney,11907,Willetton North,C,25356,1,"WOOLF, Russell",,0
WA,248,Tangney,11907,Willetton North,C,25357,2,"JAMES, Verity",,2
WA,248,Tangney,11907,Willetton North,D,25404,0,D Ticket Votes,Australian Democrats,4
WA,248,Tangney,11907,Willetton North,D,25280,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,248,Tangney,11907,Willetton North,D,25281,2,"THIEL, William",Australian Democrats,0
WA,248,Tangney,11907,Willetton North,E,25391,0,E Ticket Votes,Pirate Party,5
WA,248,Tangney,11907,Willetton North,E,25296,1,"BOYD, Fletcher",Pirate Party,0
WA,248,Tangney,11907,Willetton North,E,25297,2,"ALLEN, Michelle",Pirate Party,0
WA,248,Tangney,11907,Willetton North,F,25394,0,F Ticket Votes,Australian Labor Party,283
WA,248,Tangney,11907,Willetton North,F,25328,1,"BULLOCK, Joe",Australian Labor Party,8
WA,248,Tangney,11907,Willetton North,F,25329,2,"PRATT, Louise",Australian Labor Party,8
WA,248,Tangney,11907,Willetton North,F,25330,3,"HILL, Shane",Australian Labor Party,1
WA,248,Tangney,11907,Willetton North,F,25331,4,"ANDRIC, Klara",Australian Labor Party,0
WA,248,Tangney,11907,Willetton North,G,25409,0,G Ticket Votes,Australian Motoring Enthusiast Party,6
WA,248,Tangney,11907,Willetton North,G,25342,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,1
WA,248,Tangney,11907,Willetton North,G,25343,2,"ZANDVLIET, Rob",Australian Motoring Enthusiast Party,0
WA,248,Tangney,11907,Willetton North,H,25403,0,H Ticket Votes,Freedom and Prosperity Party,2
WA,248,Tangney,11907,Willetton North,H,25338,1,"KOUTALIANOS, Bill",Freedom and Prosperity Party,0
WA,248,Tangney,11907,Willetton North,H,25339,2,"ASHBY, Leon",Freedom and Prosperity Party,0
WA,248,Tangney,11907,Willetton North,I,25396,0,I Ticket Votes,Voluntary Euthanasia Party,8
WA,248,Tangney,11907,Willetton North,I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,0
WA,248,Tangney,11907,Willetton North,I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,248,Tangney,11907,Willetton North,J,25422,0,J Ticket Votes,Liberal Democrats,35
WA,248,Tangney,11907,Willetton North,J,25318,1,"FRYAR, Jim",Liberal Democrats,0
WA,248,Tangney,11907,Willetton North,J,25319,2,"HAMILTON, Neil",Liberal Democrats,0
WA,248,Tangney,11907,Willetton North,K,25392,0,K Ticket Votes,Australian Voice Party,1
WA,248,Tangney,11907,Willetton North,K,25290,1,"PARKES, Brian W",Australian Voice Party,0
WA,248,Tangney,11907,Willetton North,K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,248,Tangney,11907,Willetton North,L,25402,0,L Ticket Votes,Building Australia Party,1
WA,248,Tangney,11907,Willetton North,L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,248,Tangney,11907,Willetton North,L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,248,Tangney,11907,Willetton North,M,25406,0,M Ticket Votes,Mutual Party,2
WA,248,Tangney,11907,Willetton North,M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,248,Tangney,11907,Willetton North,M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,248,Tangney,11907,Willetton North,N,25400,0,N Ticket Votes,Family First Party,6
WA,248,Tangney,11907,Willetton North,N,25336,1,"ROSE, Linda",Family First Party,1
WA,248,Tangney,11907,Willetton North,N,25337,2,"HENG, Henry",Family First Party,0
WA,248,Tangney,11907,Willetton North,O,25397,0,O Ticket Votes,#Sustainable Population Party,1
WA,248,Tangney,11907,Willetton North,O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,0
WA,248,Tangney,11907,Willetton North,O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,248,Tangney,11907,Willetton North,P,25410,0,P Ticket Votes,Palmer United Party,155
WA,248,Tangney,11907,Willetton North,P,25284,1,"WANG, Zhenya",Palmer United Party,6
WA,248,Tangney,11907,Willetton North,P,25285,2,"HEADLAND, Desmond John",Palmer United Party,5
WA,248,Tangney,11907,Willetton North,P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,0
WA,248,Tangney,11907,Willetton North,Q,25413,0,Q Ticket Votes,Australian Sports Party,5
WA,248,Tangney,11907,Willetton North,Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,0
WA,248,Tangney,11907,Willetton North,Q,25327,2,"LACKOVIC, Al",Australian Sports Party,0
WA,248,Tangney,11907,Willetton North,R,25395,0,R Ticket Votes,Liberal,563
WA,248,Tangney,11907,Willetton North,R,25298,1,"JOHNSTON, David",Liberal,15
WA,248,Tangney,11907,Willetton North,R,25299,2,"CASH, Michaelia",Liberal,0
WA,248,Tangney,11907,Willetton North,R,25300,3,"REYNOLDS, Linda",Liberal,0
WA,248,Tangney,11907,Willetton North,R,25301,4,"BROCKMAN, Slade",Liberal,0
WA,248,Tangney,11907,Willetton North,S,25419,0,S Ticket Votes,Shooters and Fishers,5
WA,248,Tangney,11907,Willetton North,S,25316,1,"BOW, Murray",Shooters and Fishers,0
WA,248,Tangney,11907,Willetton North,S,25317,2,"PARKES, John",Shooters and Fishers,0
WA,248,Tangney,11907,Willetton North,T,25398,0,T Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,13
WA,248,Tangney,11907,Willetton North,T,25294,1,"MOYLAN, James M",Help End Marijuana Prohibition (HEMP) Party,1
WA,248,Tangney,11907,Willetton North,T,25295,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,248,Tangney,11907,Willetton North,U,25399,0,U Ticket Votes,Republican Party of Australia,0
WA,248,Tangney,11907,Willetton North,U,25350,1,"ANDERSON, Marcus",Republican Party of Australia,0
WA,248,Tangney,11907,Willetton North,U,25351,2,"HOLLICK, Rohan",Republican Party of Australia,0
WA,248,Tangney,11907,Willetton North,V,25416,0,V Ticket Votes,Smokers Rights,2
WA,248,Tangney,11907,Willetton North,V,25320,1,"KATZ-BARBER, Max",Smokers Rights,1
WA,248,Tangney,11907,Willetton North,V,25321,2,"DI RADO, Daniel Jay",Smokers Rights,0
WA,248,Tangney,11907,Willetton North,W,25417,0,W Ticket Votes,Australian Fishing and Lifestyle Party,2
WA,248,Tangney,11907,Willetton North,W,25346,1,"McCARTHY, Daniel",Australian Fishing and Lifestyle Party,0
WA,248,Tangney,11907,Willetton North,W,25347,2,"WYATT, Suzzanne",Australian Fishing and Lifestyle Party,0
WA,248,Tangney,11907,Willetton North,X,25401,0,X Ticket Votes,Australian Christians,31
WA,248,Tangney,11907,Willetton North,X,25292,1,"MORAN, Ray",Australian Christians,4
WA,248,Tangney,11907,Willetton North,X,25293,2,"MOSELEY, Justin",Australian Christians,0
WA,248,Tangney,11907,Willetton North,Y,25415,0,Y Ticket Votes,Secular Party of Australia,0
WA,248,Tangney,11907,Willetton North,Y,25332,1,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,248,Tangney,11907,Willetton North,Y,25333,2,"THOMPSON, Andrew",Secular Party of Australia,0
WA,248,Tangney,11907,Willetton North,Z,25420,0,Z Ticket Votes,Rise Up Australia Party,0
WA,248,Tangney,11907,Willetton North,Z,25282,1,"FOREMAN, Jane Elizabeth",Rise Up Australia Party,0
WA,248,Tangney,11907,Willetton North,Z,25283,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,248,Tangney,11907,Willetton North,AA,25421,0,AA Ticket Votes,The Greens (WA),208
WA,248,Tangney,11907,Willetton North,AA,25304,1,"LUDLAM, Scott",The Greens (WA),15
WA,248,Tangney,11907,Willetton North,AA,25305,2,"CUNNINGHAM, Christine",The Greens (WA),0
WA,248,Tangney,11907,Willetton North,AA,25306,3,"JAMES, Ian",The Greens (WA),0
WA,248,Tangney,11907,Willetton North,AA,25307,4,"STEELE-JOHN, Jordon",The Greens (WA),0
WA,248,Tangney,11907,Willetton North,AA,25308,5,"NIELSEN-HARVEY, Sarah",The Greens (WA),0
WA,248,Tangney,11907,Willetton North,AA,25309,6,"CULLITY, Judith",The Greens (WA),0
WA,248,Tangney,11907,Willetton North,AB,25412,0,AB Ticket Votes,DLP Democratic Labour,6
WA,248,Tangney,11907,Willetton North,AB,25340,1,"GOOD, Adrian",DLP Democratic Labour,0
WA,248,Tangney,11907,Willetton North,AB,25341,2,"KIERNAN, Cathy",DLP Democratic Labour,0
WA,248,Tangney,11907,Willetton North,AC,25411,0,AC Ticket Votes,Katter's Australian Party,1
WA,248,Tangney,11907,Willetton North,AC,25348,1,"BOUWMAN, Phillip",Katter's Australian Party,1
WA,248,Tangney,11907,Willetton North,AC,25349,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,248,Tangney,11907,Willetton North,AD,25414,0,AD Ticket Votes,Animal Justice Party,4
WA,248,Tangney,11907,Willetton North,AD,25302,1,"LOVE, Katrina",Animal Justice Party,0
WA,248,Tangney,11907,Willetton North,AD,25303,2,"SUTTON, Alicia",Animal Justice Party,0
WA,248,Tangney,11907,Willetton North,AE,25407,0,AE Ticket Votes,Sex Party,7
WA,248,Tangney,11907,Willetton North,AE,25314,1,"PATTEN, Fiona",Sex Party,1
WA,248,Tangney,11907,Willetton North,AE,25315,2,"COLEMAN, Mark",Sex Party,0
WA,248,Tangney,11907,Willetton North,AF,25405,0,AF Ticket Votes,Socialist Alliance,1
WA,248,Tangney,11907,Willetton North,AF,25287,1,"BAINBRIDGE, Alex",Socialist Alliance,0
WA,248,Tangney,11907,Willetton North,AF,25288,2,"JENKINS, Chris",Socialist Alliance,1
WA,248,Tangney,11907,Willetton North,AG,25393,0,AG Ticket Votes,Outdoor Recreation Party (Stop The Greens),2
WA,248,Tangney,11907,Willetton North,AG,25322,1,"FISHLOCK, David",Outdoor Recreation Party (Stop The Greens),0
WA,248,Tangney,11907,Willetton North,AG,25323,2,"DE LIMA, Joaquim",Outdoor Recreation Party (Stop The Greens),0
WA,248,Tangney,11907,Willetton North,UG,25289,1,"VAN LIESHOUT, Teresa",Independent,0
WA,248,Tangney,11907,Willetton North,UG,25310,2,"MUBARAK, Kim",Independent,1
WA,248,Tangney,11907,Willetton North,ZZ,0,99,INFORMAL,,37
WA,248,Tangney,13991,Perth (Tangney),A,25423,0,A Ticket Votes,The Wikileaks Party,1
WA,248,Tangney,13991,Perth (Tangney),A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,0
WA,248,Tangney,13991,Perth (Tangney),A,25313,2,"NICOL, Lucy",The Wikileaks Party,0
WA,248,Tangney,13991,Perth (Tangney),B,25418,0,B Ticket Votes,The Nationals,1
WA,248,Tangney,13991,Perth (Tangney),B,25334,1,"VAN STYN, Shane",The Nationals,0
WA,248,Tangney,13991,Perth (Tangney),B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,0
WA,248,Tangney,13991,Perth (Tangney),C,25408,0,C Ticket Votes,,0
WA,248,Tangney,13991,Perth (Tangney),C,25356,1,"WOOLF, Russell",,0
WA,248,Tangney,13991,Perth (Tangney),C,25357,2,"JAMES, Verity",,0
WA,248,Tangney,13991,Perth (Tangney),D,25404,0,D Ticket Votes,Australian Democrats,0
WA,248,Tangney,13991,Perth (Tangney),D,25280,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,248,Tangney,13991,Perth (Tangney),D,25281,2,"THIEL, William",Australian Democrats,0
WA,248,Tangney,13991,Perth (Tangney),E,25391,0,E Ticket Votes,Pirate Party,1
WA,248,Tangney,13991,Perth (Tangney),E,25296,1,"BOYD, Fletcher",Pirate Party,0
WA,248,Tangney,13991,Perth (Tangney),E,25297,2,"ALLEN, Michelle",Pirate Party,0
WA,248,Tangney,13991,Perth (Tangney),F,25394,0,F Ticket Votes,Australian Labor Party,11
WA,248,Tangney,13991,Perth (Tangney),F,25328,1,"BULLOCK, Joe",Australian Labor Party,0
WA,248,Tangney,13991,Perth (Tangney),F,25329,2,"PRATT, Louise",Australian Labor Party,0
WA,248,Tangney,13991,Perth (Tangney),F,25330,3,"HILL, Shane",Australian Labor Party,0
WA,248,Tangney,13991,Perth (Tangney),F,25331,4,"ANDRIC, Klara",Australian Labor Party,0
WA,248,Tangney,13991,Perth (Tangney),G,25409,0,G Ticket Votes,Australian Motoring Enthusiast Party,1
WA,248,Tangney,13991,Perth (Tangney),G,25342,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,248,Tangney,13991,Perth (Tangney),G,25343,2,"ZANDVLIET, Rob",Australian Motoring Enthusiast Party,0
WA,248,Tangney,13991,Perth (Tangney),H,25403,0,H Ticket Votes,Freedom and Prosperity Party,0
WA,248,Tangney,13991,Perth (Tangney),H,25338,1,"KOUTALIANOS, Bill",Freedom and Prosperity Party,0
WA,248,Tangney,13991,Perth (Tangney),H,25339,2,"ASHBY, Leon",Freedom and Prosperity Party,0
WA,248,Tangney,13991,Perth (Tangney),I,25396,0,I Ticket Votes,Voluntary Euthanasia Party,0
WA,248,Tangney,13991,Perth (Tangney),I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,0
WA,248,Tangney,13991,Perth (Tangney),I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,248,Tangney,13991,Perth (Tangney),J,25422,0,J Ticket Votes,Liberal Democrats,2
WA,248,Tangney,13991,Perth (Tangney),J,25318,1,"FRYAR, Jim",Liberal Democrats,0
WA,248,Tangney,13991,Perth (Tangney),J,25319,2,"HAMILTON, Neil",Liberal Democrats,0
WA,248,Tangney,13991,Perth (Tangney),K,25392,0,K Ticket Votes,Australian Voice Party,0
WA,248,Tangney,13991,Perth (Tangney),K,25290,1,"PARKES, Brian W",Australian Voice Party,0
WA,248,Tangney,13991,Perth (Tangney),K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,248,Tangney,13991,Perth (Tangney),L,25402,0,L Ticket Votes,Building Australia Party,0
WA,248,Tangney,13991,Perth (Tangney),L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,248,Tangney,13991,Perth (Tangney),L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,248,Tangney,13991,Perth (Tangney),M,25406,0,M Ticket Votes,Mutual Party,0
WA,248,Tangney,13991,Perth (Tangney),M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,248,Tangney,13991,Perth (Tangney),M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,248,Tangney,13991,Perth (Tangney),N,25400,0,N Ticket Votes,Family First Party,0
WA,248,Tangney,13991,Perth (Tangney),N,25336,1,"ROSE, Linda",Family First Party,0
WA,248,Tangney,13991,Perth (Tangney),N,25337,2,"HENG, Henry",Family First Party,0
WA,248,Tangney,13991,Perth (Tangney),O,25397,0,O Ticket Votes,#Sustainable Population Party,0
WA,248,Tangney,13991,Perth (Tangney),O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,0
WA,248,Tangney,13991,Perth (Tangney),O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,248,Tangney,13991,Perth (Tangney),P,25410,0,P Ticket Votes,Palmer United Party,3
WA,248,Tangney,13991,Perth (Tangney),P,25284,1,"WANG, Zhenya",Palmer United Party,1
WA,248,Tangney,13991,Perth (Tangney),P,25285,2,"HEADLAND, Desmond John",Palmer United Party,0
WA,248,Tangney,13991,Perth (Tangney),P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,0
WA,248,Tangney,13991,Perth (Tangney),Q,25413,0,Q Ticket Votes,Australian Sports Party,0
WA,248,Tangney,13991,Perth (Tangney),Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,0
