2016 Federal Election Senate First Preferences By Polling Place for Division 179 [Event:20499 Phase:FinalResults Generated:2017-05-16T15:44:55 Cycle:1c16bc24-2305-4e98-b136-89dead4ad909 Created:2016-09-05T17:43:14 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
SA,179,Adelaide,33207,Special Hospital Team 5,S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,0
SA,179,Adelaide,33207,Special Hospital Team 5,S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,179,Adelaide,33207,Special Hospital Team 5,T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,U,29641,0,U Ticket Votes,Animal Justice Party,2
SA,179,Adelaide,33207,Special Hospital Team 5,U,28421,1,"NOBLE, Tania",Animal Justice Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,W,29640,0,W Ticket Votes,Citizens Electoral Council,0
SA,179,Adelaide,33207,Special Hospital Team 5,W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,179,Adelaide,33207,Special Hospital Team 5,W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,29551,1,"WATERS, Ron",Antipaedophile Party,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,29594,3,"RICHARDS, Adam",Independent,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,28869,4,"ALI, Mohammad",Independent,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,29547,5,"SADDLER, Dave",Independent,0
SA,179,Adelaide,33207,Special Hospital Team 5,UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,179,Adelaide,33207,Special Hospital Team 5,ZZ,0,99,INFORMAL,,0
SA,179,Adelaide,36446,Marden (Adelaide),A,29643,0,A Ticket Votes,Mature Australia,2
SA,179,Adelaide,36446,Marden (Adelaide),A,28433,1,"BOTHE, Darryl",Mature Australia,0
SA,179,Adelaide,36446,Marden (Adelaide),A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,179,Adelaide,36446,Marden (Adelaide),B,29655,0,B Ticket Votes,Australian Labor Party,122
SA,179,Adelaide,36446,Marden (Adelaide),B,29506,1,"WONG, Penny",Australian Labor Party,7
SA,179,Adelaide,36446,Marden (Adelaide),B,29508,2,"FARRELL, Don",Australian Labor Party,0
SA,179,Adelaide,36446,Marden (Adelaide),B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,179,Adelaide,36446,Marden (Adelaide),B,29511,4,"McEWEN, Anne",Australian Labor Party,0
SA,179,Adelaide,36446,Marden (Adelaide),B,29512,5,"ALLISON, Michael",Australian Labor Party,0
SA,179,Adelaide,36446,Marden (Adelaide),B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,179,Adelaide,36446,Marden (Adelaide),C,29651,0,C Ticket Votes,The Arts Party,1
SA,179,Adelaide,36446,Marden (Adelaide),C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,1
SA,179,Adelaide,36446,Marden (Adelaide),C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,0
SA,179,Adelaide,36446,Marden (Adelaide),D,29652,0,D Ticket Votes,The Greens,41
SA,179,Adelaide,36446,Marden (Adelaide),D,29494,1,"HANSON-YOUNG, Sarah",The Greens,10
SA,179,Adelaide,36446,Marden (Adelaide),D,29495,2,"SIMMS, Robert",The Greens,0
SA,179,Adelaide,36446,Marden (Adelaide),D,29496,3,"MOATE, Jody",The Greens,0
SA,179,Adelaide,36446,Marden (Adelaide),D,29497,4,"DE KOK, Harriet",The Greens,0
SA,179,Adelaide,36446,Marden (Adelaide),E,29660,0,E Ticket Votes,Australian Cyclists Party,1
SA,179,Adelaide,36446,Marden (Adelaide),E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,0
SA,179,Adelaide,36446,Marden (Adelaide),E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,179,Adelaide,36446,Marden (Adelaide),F,29653,0,F Ticket Votes,Nick Xenophon Team,79
SA,179,Adelaide,36446,Marden (Adelaide),F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,9
SA,179,Adelaide,36446,Marden (Adelaide),F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,0
SA,179,Adelaide,36446,Marden (Adelaide),F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,179,Adelaide,36446,Marden (Adelaide),F,29509,4,"STORER, Tim",Nick Xenophon Team,0
SA,179,Adelaide,36446,Marden (Adelaide),G,29662,0,G Ticket Votes,Australian Progressives,1
SA,179,Adelaide,36446,Marden (Adelaide),G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,0
SA,179,Adelaide,36446,Marden (Adelaide),G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,179,Adelaide,36446,Marden (Adelaide),H,29658,0,H Ticket Votes,Liberal,152
SA,179,Adelaide,36446,Marden (Adelaide),H,29578,1,"BIRMINGHAM, Simon",Liberal,6
SA,179,Adelaide,36446,Marden (Adelaide),H,29580,2,"BERNARDI, Cory",Liberal,0
SA,179,Adelaide,36446,Marden (Adelaide),H,29582,3,"RUSTON, Anne",Liberal,1
SA,179,Adelaide,36446,Marden (Adelaide),H,29583,4,"FAWCETT, David",Liberal,1
SA,179,Adelaide,36446,Marden (Adelaide),H,29584,5,"EDWARDS, Sean",Liberal,0
SA,179,Adelaide,36446,Marden (Adelaide),H,29585,6,"LIDDLE, Kerrynne",Liberal,0
SA,179,Adelaide,36446,Marden (Adelaide),I,29654,0,I Ticket Votes,Palmer United Party,0
SA,179,Adelaide,36446,Marden (Adelaide),I,29519,1,"REES, Kristian",Palmer United Party,0
SA,179,Adelaide,36446,Marden (Adelaide),I,29521,2,"FILINGERI, Carlo",Palmer United Party,0
SA,179,Adelaide,36446,Marden (Adelaide),J,29642,0,J Ticket Votes,Australian Motoring Enthusiast Party,0
SA,179,Adelaide,36446,Marden (Adelaide),J,28427,1,"GREEN, Nathan",Australian Motoring Enthusiast Party,0
SA,179,Adelaide,36446,Marden (Adelaide),J,28430,2,"KUERSCHNER, Judith",Australian Motoring Enthusiast Party,0
SA,179,Adelaide,36446,Marden (Adelaide),K,29650,0,K Ticket Votes,Liberal Democrats,2
SA,179,Adelaide,36446,Marden (Adelaide),K,29500,1,"SADRI, Roostam",Liberal Democrats,0
SA,179,Adelaide,36446,Marden (Adelaide),K,29502,2,"NOACK, Michael",Liberal Democrats,0
SA,179,Adelaide,36446,Marden (Adelaide),L,29657,0,L Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36446,Marden (Adelaide),L,29526,1,"BIRD, Adam Anthony",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36446,Marden (Adelaide),L,29530,2,"BAKER, Jeff",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36446,Marden (Adelaide),M,29647,0,M Ticket Votes,Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36446,Marden (Adelaide),M,28859,1,"ATTIA, Matt",Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36446,Marden (Adelaide),M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36446,Marden (Adelaide),N,29645,0,N Ticket Votes,Family First,6
SA,179,Adelaide,36446,Marden (Adelaide),N,28842,1,"DAY, Bob",Family First,3
SA,179,Adelaide,36446,Marden (Adelaide),N,28845,2,"GICHUHI, Lucy",Family First,0
SA,179,Adelaide,36446,Marden (Adelaide),O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,3
SA,179,Adelaide,36446,Marden (Adelaide),O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,0
SA,179,Adelaide,36446,Marden (Adelaide),O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,0
SA,179,Adelaide,36446,Marden (Adelaide),P,29644,0,P Ticket Votes,Marriage Equality,0
SA,179,Adelaide,36446,Marden (Adelaide),P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,0
SA,179,Adelaide,36446,Marden (Adelaide),P,29588,2,"BOND, Alex",Marriage Equality,0
SA,179,Adelaide,36446,Marden (Adelaide),Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",2
SA,179,Adelaide,36446,Marden (Adelaide),Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",1
SA,179,Adelaide,36446,Marden (Adelaide),Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,179,Adelaide,36446,Marden (Adelaide),R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,4
SA,179,Adelaide,36446,Marden (Adelaide),R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,0
SA,179,Adelaide,36446,Marden (Adelaide),R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,1
SA,179,Adelaide,36446,Marden (Adelaide),S,29648,0,S Ticket Votes,Australian Liberty Alliance,1
SA,179,Adelaide,36446,Marden (Adelaide),S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,0
SA,179,Adelaide,36446,Marden (Adelaide),S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,179,Adelaide,36446,Marden (Adelaide),T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,1
SA,179,Adelaide,36446,Marden (Adelaide),T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,0
SA,179,Adelaide,36446,Marden (Adelaide),T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,179,Adelaide,36446,Marden (Adelaide),U,29641,0,U Ticket Votes,Animal Justice Party,5
SA,179,Adelaide,36446,Marden (Adelaide),U,28421,1,"NOBLE, Tania",Animal Justice Party,1
SA,179,Adelaide,36446,Marden (Adelaide),U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,179,Adelaide,36446,Marden (Adelaide),V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,0
SA,179,Adelaide,36446,Marden (Adelaide),V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,1
SA,179,Adelaide,36446,Marden (Adelaide),V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,179,Adelaide,36446,Marden (Adelaide),W,29640,0,W Ticket Votes,Citizens Electoral Council,0
SA,179,Adelaide,36446,Marden (Adelaide),W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,179,Adelaide,36446,Marden (Adelaide),W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,179,Adelaide,36446,Marden (Adelaide),UG,29551,1,"WATERS, Ron",Antipaedophile Party,0
SA,179,Adelaide,36446,Marden (Adelaide),UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,179,Adelaide,36446,Marden (Adelaide),UG,29594,3,"RICHARDS, Adam",Independent,3
SA,179,Adelaide,36446,Marden (Adelaide),UG,28869,4,"ALI, Mohammad",Independent,0
SA,179,Adelaide,36446,Marden (Adelaide),UG,29547,5,"SADDLER, Dave",Independent,0
SA,179,Adelaide,36446,Marden (Adelaide),UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,179,Adelaide,36446,Marden (Adelaide),ZZ,0,99,INFORMAL,,15
SA,179,Adelaide,36447,Croydon (Adelaide),A,29643,0,A Ticket Votes,Mature Australia,1
SA,179,Adelaide,36447,Croydon (Adelaide),A,28433,1,"BOTHE, Darryl",Mature Australia,1
SA,179,Adelaide,36447,Croydon (Adelaide),A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,179,Adelaide,36447,Croydon (Adelaide),B,29655,0,B Ticket Votes,Australian Labor Party,119
SA,179,Adelaide,36447,Croydon (Adelaide),B,29506,1,"WONG, Penny",Australian Labor Party,13
SA,179,Adelaide,36447,Croydon (Adelaide),B,29508,2,"FARRELL, Don",Australian Labor Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),B,29511,4,"McEWEN, Anne",Australian Labor Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),B,29512,5,"ALLISON, Michael",Australian Labor Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),C,29651,0,C Ticket Votes,The Arts Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,2
SA,179,Adelaide,36447,Croydon (Adelaide),C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),D,29652,0,D Ticket Votes,The Greens,29
SA,179,Adelaide,36447,Croydon (Adelaide),D,29494,1,"HANSON-YOUNG, Sarah",The Greens,10
SA,179,Adelaide,36447,Croydon (Adelaide),D,29495,2,"SIMMS, Robert",The Greens,1
SA,179,Adelaide,36447,Croydon (Adelaide),D,29496,3,"MOATE, Jody",The Greens,0
SA,179,Adelaide,36447,Croydon (Adelaide),D,29497,4,"DE KOK, Harriet",The Greens,0
SA,179,Adelaide,36447,Croydon (Adelaide),E,29660,0,E Ticket Votes,Australian Cyclists Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),F,29653,0,F Ticket Votes,Nick Xenophon Team,58
SA,179,Adelaide,36447,Croydon (Adelaide),F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,5
SA,179,Adelaide,36447,Croydon (Adelaide),F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,0
SA,179,Adelaide,36447,Croydon (Adelaide),F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,179,Adelaide,36447,Croydon (Adelaide),F,29509,4,"STORER, Tim",Nick Xenophon Team,0
SA,179,Adelaide,36447,Croydon (Adelaide),G,29662,0,G Ticket Votes,Australian Progressives,0
SA,179,Adelaide,36447,Croydon (Adelaide),G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,2
SA,179,Adelaide,36447,Croydon (Adelaide),G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,179,Adelaide,36447,Croydon (Adelaide),H,29658,0,H Ticket Votes,Liberal,59
SA,179,Adelaide,36447,Croydon (Adelaide),H,29578,1,"BIRMINGHAM, Simon",Liberal,2
SA,179,Adelaide,36447,Croydon (Adelaide),H,29580,2,"BERNARDI, Cory",Liberal,2
SA,179,Adelaide,36447,Croydon (Adelaide),H,29582,3,"RUSTON, Anne",Liberal,1
SA,179,Adelaide,36447,Croydon (Adelaide),H,29583,4,"FAWCETT, David",Liberal,0
SA,179,Adelaide,36447,Croydon (Adelaide),H,29584,5,"EDWARDS, Sean",Liberal,0
SA,179,Adelaide,36447,Croydon (Adelaide),H,29585,6,"LIDDLE, Kerrynne",Liberal,1
SA,179,Adelaide,36447,Croydon (Adelaide),I,29654,0,I Ticket Votes,Palmer United Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),I,29519,1,"REES, Kristian",Palmer United Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),I,29521,2,"FILINGERI, Carlo",Palmer United Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),J,29642,0,J Ticket Votes,Australian Motoring Enthusiast Party,2
SA,179,Adelaide,36447,Croydon (Adelaide),J,28427,1,"GREEN, Nathan",Australian Motoring Enthusiast Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),J,28430,2,"KUERSCHNER, Judith",Australian Motoring Enthusiast Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),K,29650,0,K Ticket Votes,Liberal Democrats,0
SA,179,Adelaide,36447,Croydon (Adelaide),K,29500,1,"SADRI, Roostam",Liberal Democrats,0
SA,179,Adelaide,36447,Croydon (Adelaide),K,29502,2,"NOACK, Michael",Liberal Democrats,0
SA,179,Adelaide,36447,Croydon (Adelaide),L,29657,0,L Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36447,Croydon (Adelaide),L,29526,1,"BIRD, Adam Anthony",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36447,Croydon (Adelaide),L,29530,2,"BAKER, Jeff",VOTEFLUX.ORG | Upgrade Democracy!,0
SA,179,Adelaide,36447,Croydon (Adelaide),M,29647,0,M Ticket Votes,Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36447,Croydon (Adelaide),M,28859,1,"ATTIA, Matt",Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36447,Croydon (Adelaide),M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,36447,Croydon (Adelaide),N,29645,0,N Ticket Votes,Family First,3
SA,179,Adelaide,36447,Croydon (Adelaide),N,28842,1,"DAY, Bob",Family First,0
SA,179,Adelaide,36447,Croydon (Adelaide),N,28845,2,"GICHUHI, Lucy",Family First,0
SA,179,Adelaide,36447,Croydon (Adelaide),O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,1
SA,179,Adelaide,36447,Croydon (Adelaide),O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,0
SA,179,Adelaide,36447,Croydon (Adelaide),O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,0
SA,179,Adelaide,36447,Croydon (Adelaide),P,29644,0,P Ticket Votes,Marriage Equality,0
SA,179,Adelaide,36447,Croydon (Adelaide),P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,0
SA,179,Adelaide,36447,Croydon (Adelaide),P,29588,2,"BOND, Alex",Marriage Equality,0
SA,179,Adelaide,36447,Croydon (Adelaide),Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",0
SA,179,Adelaide,36447,Croydon (Adelaide),Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",0
SA,179,Adelaide,36447,Croydon (Adelaide),Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,179,Adelaide,36447,Croydon (Adelaide),R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,4
SA,179,Adelaide,36447,Croydon (Adelaide),R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),S,29648,0,S Ticket Votes,Australian Liberty Alliance,0
SA,179,Adelaide,36447,Croydon (Adelaide),S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,0
SA,179,Adelaide,36447,Croydon (Adelaide),S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,179,Adelaide,36447,Croydon (Adelaide),T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),U,29641,0,U Ticket Votes,Animal Justice Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),U,28421,1,"NOBLE, Tania",Animal Justice Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,1
SA,179,Adelaide,36447,Croydon (Adelaide),V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),W,29640,0,W Ticket Votes,Citizens Electoral Council,0
SA,179,Adelaide,36447,Croydon (Adelaide),W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,179,Adelaide,36447,Croydon (Adelaide),W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,29551,1,"WATERS, Ron",Antipaedophile Party,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,29594,3,"RICHARDS, Adam",Independent,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,28869,4,"ALI, Mohammad",Independent,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,29547,5,"SADDLER, Dave",Independent,0
SA,179,Adelaide,36447,Croydon (Adelaide),UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,179,Adelaide,36447,Croydon (Adelaide),ZZ,0,99,INFORMAL,,14
SA,179,Adelaide,38208,Northgate (Adelaide),A,29643,0,A Ticket Votes,Mature Australia,2
SA,179,Adelaide,38208,Northgate (Adelaide),A,28433,1,"BOTHE, Darryl",Mature Australia,1
SA,179,Adelaide,38208,Northgate (Adelaide),A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,179,Adelaide,38208,Northgate (Adelaide),B,29655,0,B Ticket Votes,Australian Labor Party,546
SA,179,Adelaide,38208,Northgate (Adelaide),B,29506,1,"WONG, Penny",Australian Labor Party,33
SA,179,Adelaide,38208,Northgate (Adelaide),B,29508,2,"FARRELL, Don",Australian Labor Party,1
SA,179,Adelaide,38208,Northgate (Adelaide),B,29510,3,"GALLACHER, Alex",Australian Labor Party,0
SA,179,Adelaide,38208,Northgate (Adelaide),B,29511,4,"McEWEN, Anne",Australian Labor Party,2
SA,179,Adelaide,38208,Northgate (Adelaide),B,29512,5,"ALLISON, Michael",Australian Labor Party,2
SA,179,Adelaide,38208,Northgate (Adelaide),B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,1
SA,179,Adelaide,38208,Northgate (Adelaide),C,29651,0,C Ticket Votes,The Arts Party,3
SA,179,Adelaide,38208,Northgate (Adelaide),C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,0
SA,179,Adelaide,38208,Northgate (Adelaide),C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,0
SA,179,Adelaide,38208,Northgate (Adelaide),D,29652,0,D Ticket Votes,The Greens,79
SA,179,Adelaide,38208,Northgate (Adelaide),D,29494,1,"HANSON-YOUNG, Sarah",The Greens,17
SA,179,Adelaide,38208,Northgate (Adelaide),D,29495,2,"SIMMS, Robert",The Greens,3
SA,179,Adelaide,38208,Northgate (Adelaide),D,29496,3,"MOATE, Jody",The Greens,0
SA,179,Adelaide,38208,Northgate (Adelaide),D,29497,4,"DE KOK, Harriet",The Greens,0
SA,179,Adelaide,38208,Northgate (Adelaide),E,29660,0,E Ticket Votes,Australian Cyclists Party,2
SA,179,Adelaide,38208,Northgate (Adelaide),E,29571,1,"BILSON-THOMPSON, Sundance",Australian Cyclists Party,2
SA,179,Adelaide,38208,Northgate (Adelaide),E,29572,2,"HARKER-SMITH, Angus",Australian Cyclists Party,0
SA,179,Adelaide,38208,Northgate (Adelaide),F,29653,0,F Ticket Votes,Nick Xenophon Team,304
SA,179,Adelaide,38208,Northgate (Adelaide),F,29504,1,"XENOPHON, Nick",Nick Xenophon Team,30
SA,179,Adelaide,38208,Northgate (Adelaide),F,29505,2,"GRIFF, Stirling",Nick Xenophon Team,0
SA,179,Adelaide,38208,Northgate (Adelaide),F,29507,3,"KAKOSCHKE-MOORE, Skye",Nick Xenophon Team,0
SA,179,Adelaide,38208,Northgate (Adelaide),F,29509,4,"STORER, Tim",Nick Xenophon Team,0
SA,179,Adelaide,38208,Northgate (Adelaide),G,29662,0,G Ticket Votes,Australian Progressives,0
SA,179,Adelaide,38208,Northgate (Adelaide),G,29579,1,"PAZESKI-NIKOLOSKI, Sasha",Australian Progressives,0
SA,179,Adelaide,38208,Northgate (Adelaide),G,29581,2,"PRIDDEY, Jaz",Australian Progressives,0
SA,179,Adelaide,38208,Northgate (Adelaide),H,29658,0,H Ticket Votes,Liberal,633
SA,179,Adelaide,38208,Northgate (Adelaide),H,29578,1,"BIRMINGHAM, Simon",Liberal,15
SA,179,Adelaide,38208,Northgate (Adelaide),H,29580,2,"BERNARDI, Cory",Liberal,3
