2010 Federal Election Senate First Preferences By Polling Place for Division 118 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:12 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,118,Farrer,801,Koraleigh,AA,22210,0,AA Ticket Votes,Liberal/Nationals,114
NSW,118,Farrer,801,Koraleigh,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,0
NSW,118,Farrer,801,Koraleigh,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,118,Farrer,801,Koraleigh,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,118,Farrer,801,Koraleigh,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,118,Farrer,801,Koraleigh,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,118,Farrer,801,Koraleigh,AA,21776,6,"BILIC, George",Liberal,0
NSW,118,Farrer,801,Koraleigh,AB,22221,0,AB Ticket Votes,,0
NSW,118,Farrer,801,Koraleigh,AB,21901,1,"ECKFORD, Michael",,0
NSW,118,Farrer,801,Koraleigh,AB,21902,2,"STEVENS, Criselee",,0
NSW,118,Farrer,801,Koraleigh,AC,22225,0,AC Ticket Votes,One Nation,2
NSW,118,Farrer,801,Koraleigh,AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,118,Farrer,801,Koraleigh,AC,21827,2,"BRETT, John",One Nation,0
NSW,118,Farrer,801,Koraleigh,AD,22208,0,AD Ticket Votes,The Greens,6
NSW,118,Farrer,801,Koraleigh,AD,21147,1,"RHIANNON, Lee",The Greens,0
NSW,118,Farrer,801,Koraleigh,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,118,Farrer,801,Koraleigh,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,118,Farrer,801,Koraleigh,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,118,Farrer,801,Koraleigh,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,118,Farrer,801,Koraleigh,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,118,Farrer,801,Koraleigh,AE,22234,0,AE Ticket Votes,,0
NSW,118,Farrer,801,Koraleigh,AE,22202,1,"KERNOT, Cheryl",,0
NSW,118,Farrer,801,Koraleigh,AE,22201,2,"CANT, Simon",,0
NSW,118,Farrer,801,Koraleigh,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),6
NSW,118,Farrer,801,Koraleigh,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,118,Farrer,801,Koraleigh,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,118,Farrer,801,Koraleigh,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,118,Farrer,801,Koraleigh,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,118,Farrer,801,Koraleigh,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,118,Farrer,801,Koraleigh,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,118,Farrer,801,Koraleigh,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,118,Farrer,801,Koraleigh,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,118,Farrer,801,Koraleigh,ZZ,0,99,INFORMAL,,7
NSW,118,Farrer,805,Lavington,A,22214,0,A Ticket Votes,Socialist Alliance,15
NSW,118,Farrer,805,Lavington,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,805,Lavington,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,805,Lavington,B,22230,0,B Ticket Votes,,1
NSW,118,Farrer,805,Lavington,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,805,Lavington,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,805,Lavington,C,22224,0,C Ticket Votes,,1
NSW,118,Farrer,805,Lavington,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,805,Lavington,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,805,Lavington,D,22215,0,D Ticket Votes,,0
NSW,118,Farrer,805,Lavington,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,805,Lavington,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,805,Lavington,E,22220,0,E Ticket Votes,Building Australia,6
NSW,118,Farrer,805,Lavington,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,805,Lavington,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,805,Lavington,F,22212,0,F Ticket Votes,Senator On-Line,4
NSW,118,Farrer,805,Lavington,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,805,Lavington,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,805,Lavington,G,22222,0,G Ticket Votes,Communist,0
NSW,118,Farrer,805,Lavington,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,118,Farrer,805,Lavington,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,805,Lavington,H,22233,0,H Ticket Votes,,3
NSW,118,Farrer,805,Lavington,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,805,Lavington,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,805,Lavington,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,3
NSW,118,Farrer,805,Lavington,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,118,Farrer,805,Lavington,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,805,Lavington,J,22219,0,J Ticket Votes,Australian Democrats,19
NSW,118,Farrer,805,Lavington,J,21733,1,"CLANCY, Fiona",Australian Democrats,1
NSW,118,Farrer,805,Lavington,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,805,Lavington,K,22218,0,K Ticket Votes,,1
NSW,118,Farrer,805,Lavington,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,805,Lavington,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,805,Lavington,L,22232,0,L Ticket Votes,,0
NSW,118,Farrer,805,Lavington,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,118,Farrer,805,Lavington,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,118,Farrer,805,Lavington,M,22207,0,M Ticket Votes,The Climate Sceptics,5
NSW,118,Farrer,805,Lavington,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,118,Farrer,805,Lavington,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,118,Farrer,805,Lavington,N,22213,0,N Ticket Votes,Secular Party of Australia,2
NSW,118,Farrer,805,Lavington,N,21229,1,"BRYCE, Ian",Secular Party of Australia,0
NSW,118,Farrer,805,Lavington,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,118,Farrer,805,Lavington,O,22216,0,O Ticket Votes,Shooters and Fishers,115
NSW,118,Farrer,805,Lavington,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,3
NSW,118,Farrer,805,Lavington,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,118,Farrer,805,Lavington,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,27
NSW,118,Farrer,805,Lavington,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,805,Lavington,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,805,Lavington,Q,22203,0,Q Ticket Votes,Australian Sex Party,83
NSW,118,Farrer,805,Lavington,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,4
NSW,118,Farrer,805,Lavington,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,118,Farrer,805,Lavington,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,118,Farrer,805,Lavington,R,22227,0,R Ticket Votes,,0
NSW,118,Farrer,805,Lavington,R,21993,1,"BARKER, David",,0
NSW,118,Farrer,805,Lavington,R,21994,2,"ZUREIK, S G",,0
NSW,118,Farrer,805,Lavington,S,22204,0,S Ticket Votes,Socialist Equality Party,2
NSW,118,Farrer,805,Lavington,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,118,Farrer,805,Lavington,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,118,Farrer,805,Lavington,T,22223,0,T Ticket Votes,,0
NSW,118,Farrer,805,Lavington,T,21908,1,"BOURKE, William",,0
NSW,118,Farrer,805,Lavington,T,21910,2,"O'CONNOR, Mark",,0
NSW,118,Farrer,805,Lavington,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),2
NSW,118,Farrer,805,Lavington,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,805,Lavington,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,805,Lavington,V,22209,0,V Ticket Votes,Family First,31
NSW,118,Farrer,805,Lavington,V,21178,1,"SWANE, Greg",Family First,1
NSW,118,Farrer,805,Lavington,V,21182,2,"LAMB, Phil",Family First,0
NSW,118,Farrer,805,Lavington,W,22206,0,W Ticket Votes,Labor,842
NSW,118,Farrer,805,Lavington,W,21012,1,"FAULKNER, John",Labor,4
NSW,118,Farrer,805,Lavington,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,118,Farrer,805,Lavington,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,118,Farrer,805,Lavington,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,118,Farrer,805,Lavington,W,21022,5,"SEATON, Fiona",Labor,0
NSW,118,Farrer,805,Lavington,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,118,Farrer,805,Lavington,X,22231,0,X Ticket Votes,,0
NSW,118,Farrer,805,Lavington,X,21995,1,"STEFANAC, Jennifer",,0
NSW,118,Farrer,805,Lavington,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,118,Farrer,805,Lavington,Y,22228,0,Y Ticket Votes,Carers Alliance,5
NSW,118,Farrer,805,Lavington,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,118,Farrer,805,Lavington,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,118,Farrer,805,Lavington,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),66
NSW,118,Farrer,805,Lavington,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),5
NSW,118,Farrer,805,Lavington,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,805,Lavington,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,805,Lavington,AA,22210,0,AA Ticket Votes,Liberal/Nationals,879
NSW,118,Farrer,805,Lavington,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,3
NSW,118,Farrer,805,Lavington,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,118,Farrer,805,Lavington,AA,21768,3,"NASH, Fiona",The Nationals,1
NSW,118,Farrer,805,Lavington,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,118,Farrer,805,Lavington,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,118,Farrer,805,Lavington,AA,21776,6,"BILIC, George",Liberal,0
NSW,118,Farrer,805,Lavington,AB,22221,0,AB Ticket Votes,,0
NSW,118,Farrer,805,Lavington,AB,21901,1,"ECKFORD, Michael",,0
NSW,118,Farrer,805,Lavington,AB,21902,2,"STEVENS, Criselee",,0
NSW,118,Farrer,805,Lavington,AC,22225,0,AC Ticket Votes,One Nation,12
NSW,118,Farrer,805,Lavington,AC,21824,1,"WEBBER, Andrew",One Nation,2
NSW,118,Farrer,805,Lavington,AC,21827,2,"BRETT, John",One Nation,1
NSW,118,Farrer,805,Lavington,AD,22208,0,AD Ticket Votes,The Greens,162
NSW,118,Farrer,805,Lavington,AD,21147,1,"RHIANNON, Lee",The Greens,4
NSW,118,Farrer,805,Lavington,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,118,Farrer,805,Lavington,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,118,Farrer,805,Lavington,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,118,Farrer,805,Lavington,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,118,Farrer,805,Lavington,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,118,Farrer,805,Lavington,AE,22234,0,AE Ticket Votes,,1
NSW,118,Farrer,805,Lavington,AE,22202,1,"KERNOT, Cheryl",,1
NSW,118,Farrer,805,Lavington,AE,22201,2,"CANT, Simon",,0
NSW,118,Farrer,805,Lavington,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),53
NSW,118,Farrer,805,Lavington,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,118,Farrer,805,Lavington,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,118,Farrer,805,Lavington,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,118,Farrer,805,Lavington,UG,22011,1,"RICHARDSON, Hamish",Independent,1
NSW,118,Farrer,805,Lavington,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,118,Farrer,805,Lavington,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,118,Farrer,805,Lavington,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,118,Farrer,805,Lavington,UG,21937,5,"WHALAN, Andrew",Independent,1
NSW,118,Farrer,805,Lavington,ZZ,0,99,INFORMAL,,177
NSW,118,Farrer,806,Lavington East,A,22214,0,A Ticket Votes,Socialist Alliance,5
NSW,118,Farrer,806,Lavington East,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,806,Lavington East,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,806,Lavington East,B,22230,0,B Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,806,Lavington East,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,806,Lavington East,C,22224,0,C Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,806,Lavington East,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,806,Lavington East,D,22215,0,D Ticket Votes,,10
NSW,118,Farrer,806,Lavington East,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,806,Lavington East,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,806,Lavington East,E,22220,0,E Ticket Votes,Building Australia,3
NSW,118,Farrer,806,Lavington East,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,806,Lavington East,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,806,Lavington East,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,118,Farrer,806,Lavington East,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,806,Lavington East,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,806,Lavington East,G,22222,0,G Ticket Votes,Communist,5
NSW,118,Farrer,806,Lavington East,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,118,Farrer,806,Lavington East,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,806,Lavington East,H,22233,0,H Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,806,Lavington East,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,806,Lavington East,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,118,Farrer,806,Lavington East,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,3
NSW,118,Farrer,806,Lavington East,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,806,Lavington East,J,22219,0,J Ticket Votes,Australian Democrats,12
NSW,118,Farrer,806,Lavington East,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,118,Farrer,806,Lavington East,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,806,Lavington East,K,22218,0,K Ticket Votes,,1
NSW,118,Farrer,806,Lavington East,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,806,Lavington East,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,806,Lavington East,L,22232,0,L Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,118,Farrer,806,Lavington East,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,118,Farrer,806,Lavington East,M,22207,0,M Ticket Votes,The Climate Sceptics,4
NSW,118,Farrer,806,Lavington East,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,118,Farrer,806,Lavington East,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,118,Farrer,806,Lavington East,N,22213,0,N Ticket Votes,Secular Party of Australia,4
NSW,118,Farrer,806,Lavington East,N,21229,1,"BRYCE, Ian",Secular Party of Australia,0
NSW,118,Farrer,806,Lavington East,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,118,Farrer,806,Lavington East,O,22216,0,O Ticket Votes,Shooters and Fishers,89
NSW,118,Farrer,806,Lavington East,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,4
NSW,118,Farrer,806,Lavington East,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,118,Farrer,806,Lavington East,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,25
NSW,118,Farrer,806,Lavington East,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,806,Lavington East,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,118,Farrer,806,Lavington East,Q,22203,0,Q Ticket Votes,Australian Sex Party,86
NSW,118,Farrer,806,Lavington East,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,3
NSW,118,Farrer,806,Lavington East,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,118,Farrer,806,Lavington East,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,118,Farrer,806,Lavington East,R,22227,0,R Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,R,21993,1,"BARKER, David",,0
NSW,118,Farrer,806,Lavington East,R,21994,2,"ZUREIK, S G",,0
NSW,118,Farrer,806,Lavington East,S,22204,0,S Ticket Votes,Socialist Equality Party,1
NSW,118,Farrer,806,Lavington East,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,118,Farrer,806,Lavington East,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,118,Farrer,806,Lavington East,T,22223,0,T Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,T,21908,1,"BOURKE, William",,0
NSW,118,Farrer,806,Lavington East,T,21910,2,"O'CONNOR, Mark",,0
NSW,118,Farrer,806,Lavington East,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,118,Farrer,806,Lavington East,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,806,Lavington East,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,118,Farrer,806,Lavington East,V,22209,0,V Ticket Votes,Family First,32
NSW,118,Farrer,806,Lavington East,V,21178,1,"SWANE, Greg",Family First,0
NSW,118,Farrer,806,Lavington East,V,21182,2,"LAMB, Phil",Family First,0
NSW,118,Farrer,806,Lavington East,W,22206,0,W Ticket Votes,Labor,669
NSW,118,Farrer,806,Lavington East,W,21012,1,"FAULKNER, John",Labor,4
NSW,118,Farrer,806,Lavington East,W,21016,2,"THISTLETHWAITE, Matthew",Labor,1
NSW,118,Farrer,806,Lavington East,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,118,Farrer,806,Lavington East,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,118,Farrer,806,Lavington East,W,21022,5,"SEATON, Fiona",Labor,0
NSW,118,Farrer,806,Lavington East,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,118,Farrer,806,Lavington East,X,22231,0,X Ticket Votes,,2
NSW,118,Farrer,806,Lavington East,X,21995,1,"STEFANAC, Jennifer",,0
NSW,118,Farrer,806,Lavington East,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,118,Farrer,806,Lavington East,Y,22228,0,Y Ticket Votes,Carers Alliance,6
NSW,118,Farrer,806,Lavington East,Y,21984,1,"CARTER, Marylou",Carers Alliance,1
NSW,118,Farrer,806,Lavington East,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,118,Farrer,806,Lavington East,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),49
NSW,118,Farrer,806,Lavington East,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,118,Farrer,806,Lavington East,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,806,Lavington East,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,118,Farrer,806,Lavington East,AA,22210,0,AA Ticket Votes,Liberal/Nationals,662
NSW,118,Farrer,806,Lavington East,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,3
NSW,118,Farrer,806,Lavington East,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,118,Farrer,806,Lavington East,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,118,Farrer,806,Lavington East,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,118,Farrer,806,Lavington East,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,118,Farrer,806,Lavington East,AA,21776,6,"BILIC, George",Liberal,0
NSW,118,Farrer,806,Lavington East,AB,22221,0,AB Ticket Votes,,0
NSW,118,Farrer,806,Lavington East,AB,21901,1,"ECKFORD, Michael",,0
NSW,118,Farrer,806,Lavington East,AB,21902,2,"STEVENS, Criselee",,0
NSW,118,Farrer,806,Lavington East,AC,22225,0,AC Ticket Votes,One Nation,7
NSW,118,Farrer,806,Lavington East,AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,118,Farrer,806,Lavington East,AC,21827,2,"BRETT, John",One Nation,0
NSW,118,Farrer,806,Lavington East,AD,22208,0,AD Ticket Votes,The Greens,110
NSW,118,Farrer,806,Lavington East,AD,21147,1,"RHIANNON, Lee",The Greens,4
NSW,118,Farrer,806,Lavington East,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,118,Farrer,806,Lavington East,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,118,Farrer,806,Lavington East,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,118,Farrer,806,Lavington East,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,118,Farrer,806,Lavington East,AD,21169,6,"KANAK, Dominic Wy",The Greens,1
NSW,118,Farrer,806,Lavington East,AE,22234,0,AE Ticket Votes,,1
NSW,118,Farrer,806,Lavington East,AE,22202,1,"KERNOT, Cheryl",,1
NSW,118,Farrer,806,Lavington East,AE,22201,2,"CANT, Simon",,0
NSW,118,Farrer,806,Lavington East,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),32
NSW,118,Farrer,806,Lavington East,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,118,Farrer,806,Lavington East,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,118,Farrer,806,Lavington East,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,118,Farrer,806,Lavington East,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,118,Farrer,806,Lavington East,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,118,Farrer,806,Lavington East,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,118,Farrer,806,Lavington East,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,118,Farrer,806,Lavington East,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,118,Farrer,806,Lavington East,ZZ,0,99,INFORMAL,,114
NSW,118,Farrer,807,Lockhart,A,22214,0,A Ticket Votes,Socialist Alliance,5
NSW,118,Farrer,807,Lockhart,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,118,Farrer,807,Lockhart,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,118,Farrer,807,Lockhart,B,22230,0,B Ticket Votes,,1
NSW,118,Farrer,807,Lockhart,B,22023,1,"HODGES, Robert",,0
NSW,118,Farrer,807,Lockhart,B,22024,2,"FRIER, Bob",,0
NSW,118,Farrer,807,Lockhart,C,22224,0,C Ticket Votes,,0
NSW,118,Farrer,807,Lockhart,C,21904,1,"ROBINSON, Tony",,0
NSW,118,Farrer,807,Lockhart,C,21907,2,"SELBY, Noel",,0
NSW,118,Farrer,807,Lockhart,D,22215,0,D Ticket Votes,,0
NSW,118,Farrer,807,Lockhart,D,21429,1,"HODGES, Darrin",,0
NSW,118,Farrer,807,Lockhart,D,21430,2,"FOLKES, Nick",,0
NSW,118,Farrer,807,Lockhart,E,22220,0,E Ticket Votes,Building Australia,1
NSW,118,Farrer,807,Lockhart,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,118,Farrer,807,Lockhart,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,118,Farrer,807,Lockhart,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,118,Farrer,807,Lockhart,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,118,Farrer,807,Lockhart,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,118,Farrer,807,Lockhart,G,22222,0,G Ticket Votes,Communist,0
NSW,118,Farrer,807,Lockhart,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,118,Farrer,807,Lockhart,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,118,Farrer,807,Lockhart,H,22233,0,H Ticket Votes,,0
NSW,118,Farrer,807,Lockhart,H,22021,1,"BLOOM, Nadia",,0
NSW,118,Farrer,807,Lockhart,H,22022,2,"IRELAND, Bede",,0
NSW,118,Farrer,807,Lockhart,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,118,Farrer,807,Lockhart,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,118,Farrer,807,Lockhart,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,118,Farrer,807,Lockhart,J,22219,0,J Ticket Votes,Australian Democrats,4
NSW,118,Farrer,807,Lockhart,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,118,Farrer,807,Lockhart,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,118,Farrer,807,Lockhart,K,22218,0,K Ticket Votes,,0
NSW,118,Farrer,807,Lockhart,K,21714,1,"SAMPSON, Meg",,0
NSW,118,Farrer,807,Lockhart,K,21718,2,"HINCHCLIFFE, J",,0
NSW,118,Farrer,807,Lockhart,L,22232,0,L Ticket Votes,,0
