2007 Federal Election Senate First Preferences By Polling Place for Division 109 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:45:15 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,109,Calare,948,Cowra North,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,109,Calare,948,Cowra North,W,17479,4,"ESBER, Pierre",Labor,0
NSW,109,Calare,948,Cowra North,W,17481,5,"SEATON, Fiona",Labor,0
NSW,109,Calare,948,Cowra North,W,17482,6,"JAMES, Pauline",Labor,0
NSW,109,Calare,948,Cowra North,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,109,Calare,948,Cowra North,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,109,Calare,948,Cowra North,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,109,Calare,948,Cowra North,Y,18598,0,Y Ticket Votes,Carers Alliance,2
NSW,109,Calare,948,Cowra North,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,109,Calare,948,Cowra North,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,109,Calare,948,Cowra North,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,109,Calare,948,Cowra North,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,109,Calare,948,Cowra North,UG,18493,1,"NADAS, Paula",Independent,0
NSW,109,Calare,948,Cowra North,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,109,Calare,948,Cowra North,UG,17837,3,"NERO, Silvana",Independent,0
NSW,109,Calare,948,Cowra North,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,109,Calare,948,Cowra North,ZZ,0,99,INFORMAL,,33
NSW,109,Calare,978,Woodstock,A,18583,0,A Ticket Votes,Liberal/Nationals,174
NSW,109,Calare,978,Woodstock,A,17820,1,"COONAN, Helen",Liberal,0
NSW,109,Calare,978,Woodstock,A,17821,2,"WILLIAMS, John",Nationals,1
NSW,109,Calare,978,Woodstock,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,109,Calare,978,Woodstock,A,17823,4,"LEES, Murray",Nationals,0
NSW,109,Calare,978,Woodstock,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,109,Calare,978,Woodstock,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,109,Calare,978,Woodstock,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,109,Calare,978,Woodstock,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,109,Calare,978,Woodstock,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,109,Calare,978,Woodstock,C,18582,0,C Ticket Votes,Family First,0
NSW,109,Calare,978,Woodstock,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,109,Calare,978,Woodstock,C,17819,2,"GRAY, Kathy",Family First,0
NSW,109,Calare,978,Woodstock,D,18596,0,D Ticket Votes,Pauline,5
NSW,109,Calare,978,Woodstock,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,109,Calare,978,Woodstock,D,18499,2,"CARTER, John E",Pauline,0
NSW,109,Calare,978,Woodstock,E,18593,0,E Ticket Votes,Climate Change Coalition,0
NSW,109,Calare,978,Woodstock,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,109,Calare,978,Woodstock,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,109,Calare,978,Woodstock,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,109,Calare,978,Woodstock,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,109,Calare,978,Woodstock,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,109,Calare,978,Woodstock,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,109,Calare,978,Woodstock,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,109,Calare,978,Woodstock,G,18581,0,G Ticket Votes,The Greens,15
NSW,109,Calare,978,Woodstock,G,17433,1,"NETTLE, Kerry",The Greens,2
NSW,109,Calare,978,Woodstock,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,109,Calare,978,Woodstock,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,109,Calare,978,Woodstock,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,109,Calare,978,Woodstock,G,17441,5,"HO, Christina",The Greens,0
NSW,109,Calare,978,Woodstock,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,109,Calare,978,Woodstock,H,18599,0,H Ticket Votes,What Women Want (Australia),1
NSW,109,Calare,978,Woodstock,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,109,Calare,978,Woodstock,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,109,Calare,978,Woodstock,I,18584,0,I Ticket Votes,LDP,1
NSW,109,Calare,978,Woodstock,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,109,Calare,978,Woodstock,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,109,Calare,978,Woodstock,J,18579,0,J Ticket Votes,,0
NSW,109,Calare,978,Woodstock,J,17444,1,"BRYCE, Ian R",,0
NSW,109,Calare,978,Woodstock,J,17445,2,"AUGUST, John P",,0
NSW,109,Calare,978,Woodstock,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,109,Calare,978,Woodstock,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,109,Calare,978,Woodstock,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,109,Calare,978,Woodstock,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,109,Calare,978,Woodstock,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,109,Calare,978,Woodstock,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,109,Calare,978,Woodstock,M,18592,0,M Ticket Votes,Democrats,0
NSW,109,Calare,978,Woodstock,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,109,Calare,978,Woodstock,M,18289,2,"KING, David",Democrats,0
NSW,109,Calare,978,Woodstock,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,109,Calare,978,Woodstock,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,109,Calare,978,Woodstock,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,109,Calare,978,Woodstock,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,109,Calare,978,Woodstock,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,6
NSW,109,Calare,978,Woodstock,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,978,Woodstock,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,978,Woodstock,P,18597,0,P Ticket Votes,,0
NSW,109,Calare,978,Woodstock,P,18500,1,"WOLDRING, Klaas",,0
NSW,109,Calare,978,Woodstock,P,18501,2,"BRADLEY, Max",,0
NSW,109,Calare,978,Woodstock,Q,18594,0,Q Ticket Votes,The Fishing Party,3
NSW,109,Calare,978,Woodstock,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,109,Calare,978,Woodstock,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,109,Calare,978,Woodstock,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),8
NSW,109,Calare,978,Woodstock,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),1
NSW,109,Calare,978,Woodstock,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,978,Woodstock,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,978,Woodstock,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,978,Woodstock,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,978,Woodstock,S,18586,0,S Ticket Votes,One Nation,2
NSW,109,Calare,978,Woodstock,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,109,Calare,978,Woodstock,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,109,Calare,978,Woodstock,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,109,Calare,978,Woodstock,S,17830,4,"FREW, Andy",One Nation,0
NSW,109,Calare,978,Woodstock,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,109,Calare,978,Woodstock,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,109,Calare,978,Woodstock,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,109,Calare,978,Woodstock,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,9
NSW,109,Calare,978,Woodstock,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,1
NSW,109,Calare,978,Woodstock,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,109,Calare,978,Woodstock,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,109,Calare,978,Woodstock,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,109,Calare,978,Woodstock,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,109,Calare,978,Woodstock,V,18576,0,V Ticket Votes,,0
NSW,109,Calare,978,Woodstock,V,17217,1,"TINYOW, Walter",,0
NSW,109,Calare,978,Woodstock,V,17218,2,"CHAN, Maria",,0
NSW,109,Calare,978,Woodstock,W,18580,0,W Ticket Votes,Labor,139
NSW,109,Calare,978,Woodstock,W,17476,1,"ARBIB, Mark",Labor,0
NSW,109,Calare,978,Woodstock,W,17477,2,"CAMERON, Doug",Labor,0
NSW,109,Calare,978,Woodstock,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,109,Calare,978,Woodstock,W,17479,4,"ESBER, Pierre",Labor,0
NSW,109,Calare,978,Woodstock,W,17481,5,"SEATON, Fiona",Labor,0
NSW,109,Calare,978,Woodstock,W,17482,6,"JAMES, Pauline",Labor,0
NSW,109,Calare,978,Woodstock,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,109,Calare,978,Woodstock,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,109,Calare,978,Woodstock,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,109,Calare,978,Woodstock,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,109,Calare,978,Woodstock,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,109,Calare,978,Woodstock,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,109,Calare,978,Woodstock,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,109,Calare,978,Woodstock,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,109,Calare,978,Woodstock,UG,18493,1,"NADAS, Paula",Independent,0
NSW,109,Calare,978,Woodstock,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,109,Calare,978,Woodstock,UG,17837,3,"NERO, Silvana",Independent,0
NSW,109,Calare,978,Woodstock,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,109,Calare,978,Woodstock,ZZ,0,99,INFORMAL,,8
NSW,109,Calare,979,Wyangala Dam,A,18583,0,A Ticket Votes,Liberal/Nationals,61
NSW,109,Calare,979,Wyangala Dam,A,17820,1,"COONAN, Helen",Liberal,0
NSW,109,Calare,979,Wyangala Dam,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,109,Calare,979,Wyangala Dam,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,109,Calare,979,Wyangala Dam,A,17823,4,"LEES, Murray",Nationals,0
NSW,109,Calare,979,Wyangala Dam,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,109,Calare,979,Wyangala Dam,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,109,Calare,979,Wyangala Dam,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,109,Calare,979,Wyangala Dam,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,109,Calare,979,Wyangala Dam,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,109,Calare,979,Wyangala Dam,C,18582,0,C Ticket Votes,Family First,2
NSW,109,Calare,979,Wyangala Dam,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,109,Calare,979,Wyangala Dam,C,17819,2,"GRAY, Kathy",Family First,0
NSW,109,Calare,979,Wyangala Dam,D,18596,0,D Ticket Votes,Pauline,0
NSW,109,Calare,979,Wyangala Dam,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,109,Calare,979,Wyangala Dam,D,18499,2,"CARTER, John E",Pauline,0
NSW,109,Calare,979,Wyangala Dam,E,18593,0,E Ticket Votes,Climate Change Coalition,0
NSW,109,Calare,979,Wyangala Dam,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,109,Calare,979,Wyangala Dam,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,109,Calare,979,Wyangala Dam,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,109,Calare,979,Wyangala Dam,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,109,Calare,979,Wyangala Dam,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,109,Calare,979,Wyangala Dam,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,109,Calare,979,Wyangala Dam,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,109,Calare,979,Wyangala Dam,G,18581,0,G Ticket Votes,The Greens,2
NSW,109,Calare,979,Wyangala Dam,G,17433,1,"NETTLE, Kerry",The Greens,0
NSW,109,Calare,979,Wyangala Dam,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,109,Calare,979,Wyangala Dam,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,109,Calare,979,Wyangala Dam,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,109,Calare,979,Wyangala Dam,G,17441,5,"HO, Christina",The Greens,0
NSW,109,Calare,979,Wyangala Dam,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,109,Calare,979,Wyangala Dam,H,18599,0,H Ticket Votes,What Women Want (Australia),1
NSW,109,Calare,979,Wyangala Dam,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,109,Calare,979,Wyangala Dam,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,109,Calare,979,Wyangala Dam,I,18584,0,I Ticket Votes,LDP,0
NSW,109,Calare,979,Wyangala Dam,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,109,Calare,979,Wyangala Dam,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,109,Calare,979,Wyangala Dam,J,18579,0,J Ticket Votes,,0
NSW,109,Calare,979,Wyangala Dam,J,17444,1,"BRYCE, Ian R",,0
NSW,109,Calare,979,Wyangala Dam,J,17445,2,"AUGUST, John P",,0
NSW,109,Calare,979,Wyangala Dam,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,109,Calare,979,Wyangala Dam,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,109,Calare,979,Wyangala Dam,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,109,Calare,979,Wyangala Dam,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,109,Calare,979,Wyangala Dam,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,109,Calare,979,Wyangala Dam,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,109,Calare,979,Wyangala Dam,M,18592,0,M Ticket Votes,Democrats,2
NSW,109,Calare,979,Wyangala Dam,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,109,Calare,979,Wyangala Dam,M,18289,2,"KING, David",Democrats,0
NSW,109,Calare,979,Wyangala Dam,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,109,Calare,979,Wyangala Dam,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,1
NSW,109,Calare,979,Wyangala Dam,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,109,Calare,979,Wyangala Dam,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,109,Calare,979,Wyangala Dam,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,3
NSW,109,Calare,979,Wyangala Dam,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,979,Wyangala Dam,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,979,Wyangala Dam,P,18597,0,P Ticket Votes,,0
NSW,109,Calare,979,Wyangala Dam,P,18500,1,"WOLDRING, Klaas",,0
NSW,109,Calare,979,Wyangala Dam,P,18501,2,"BRADLEY, Max",,0
NSW,109,Calare,979,Wyangala Dam,Q,18594,0,Q Ticket Votes,The Fishing Party,4
NSW,109,Calare,979,Wyangala Dam,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,109,Calare,979,Wyangala Dam,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,109,Calare,979,Wyangala Dam,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,109,Calare,979,Wyangala Dam,S,18586,0,S Ticket Votes,One Nation,0
NSW,109,Calare,979,Wyangala Dam,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,109,Calare,979,Wyangala Dam,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,109,Calare,979,Wyangala Dam,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,109,Calare,979,Wyangala Dam,S,17830,4,"FREW, Andy",One Nation,0
NSW,109,Calare,979,Wyangala Dam,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,109,Calare,979,Wyangala Dam,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,109,Calare,979,Wyangala Dam,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,109,Calare,979,Wyangala Dam,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,7
NSW,109,Calare,979,Wyangala Dam,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,1
NSW,109,Calare,979,Wyangala Dam,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,109,Calare,979,Wyangala Dam,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,1
NSW,109,Calare,979,Wyangala Dam,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,109,Calare,979,Wyangala Dam,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,109,Calare,979,Wyangala Dam,V,18576,0,V Ticket Votes,,0
NSW,109,Calare,979,Wyangala Dam,V,17217,1,"TINYOW, Walter",,0
NSW,109,Calare,979,Wyangala Dam,V,17218,2,"CHAN, Maria",,0
NSW,109,Calare,979,Wyangala Dam,W,18580,0,W Ticket Votes,Labor,63
NSW,109,Calare,979,Wyangala Dam,W,17476,1,"ARBIB, Mark",Labor,0
NSW,109,Calare,979,Wyangala Dam,W,17477,2,"CAMERON, Doug",Labor,0
NSW,109,Calare,979,Wyangala Dam,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,109,Calare,979,Wyangala Dam,W,17479,4,"ESBER, Pierre",Labor,0
NSW,109,Calare,979,Wyangala Dam,W,17481,5,"SEATON, Fiona",Labor,0
NSW,109,Calare,979,Wyangala Dam,W,17482,6,"JAMES, Pauline",Labor,0
NSW,109,Calare,979,Wyangala Dam,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,109,Calare,979,Wyangala Dam,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,109,Calare,979,Wyangala Dam,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,109,Calare,979,Wyangala Dam,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,109,Calare,979,Wyangala Dam,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,109,Calare,979,Wyangala Dam,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,109,Calare,979,Wyangala Dam,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,109,Calare,979,Wyangala Dam,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,109,Calare,979,Wyangala Dam,UG,18493,1,"NADAS, Paula",Independent,0
NSW,109,Calare,979,Wyangala Dam,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,109,Calare,979,Wyangala Dam,UG,17837,3,"NERO, Silvana",Independent,0
NSW,109,Calare,979,Wyangala Dam,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,109,Calare,979,Wyangala Dam,ZZ,0,99,INFORMAL,,3
NSW,109,Calare,1103,Goodooga,A,18583,0,A Ticket Votes,Liberal/Nationals,28
NSW,109,Calare,1103,Goodooga,A,17820,1,"COONAN, Helen",Liberal,0
NSW,109,Calare,1103,Goodooga,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,109,Calare,1103,Goodooga,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,109,Calare,1103,Goodooga,A,17823,4,"LEES, Murray",Nationals,0
NSW,109,Calare,1103,Goodooga,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,109,Calare,1103,Goodooga,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,109,Calare,1103,Goodooga,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,109,Calare,1103,Goodooga,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,109,Calare,1103,Goodooga,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,109,Calare,1103,Goodooga,C,18582,0,C Ticket Votes,Family First,2
NSW,109,Calare,1103,Goodooga,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,109,Calare,1103,Goodooga,C,17819,2,"GRAY, Kathy",Family First,0
NSW,109,Calare,1103,Goodooga,D,18596,0,D Ticket Votes,Pauline,0
NSW,109,Calare,1103,Goodooga,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,109,Calare,1103,Goodooga,D,18499,2,"CARTER, John E",Pauline,0
NSW,109,Calare,1103,Goodooga,E,18593,0,E Ticket Votes,Climate Change Coalition,2
NSW,109,Calare,1103,Goodooga,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,109,Calare,1103,Goodooga,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,109,Calare,1103,Goodooga,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,109,Calare,1103,Goodooga,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,109,Calare,1103,Goodooga,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,109,Calare,1103,Goodooga,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,109,Calare,1103,Goodooga,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,109,Calare,1103,Goodooga,G,18581,0,G Ticket Votes,The Greens,4
NSW,109,Calare,1103,Goodooga,G,17433,1,"NETTLE, Kerry",The Greens,0
NSW,109,Calare,1103,Goodooga,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,109,Calare,1103,Goodooga,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,109,Calare,1103,Goodooga,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,109,Calare,1103,Goodooga,G,17441,5,"HO, Christina",The Greens,0
NSW,109,Calare,1103,Goodooga,G,17442,6,"HEILPERN, Sandra",The Greens,1
NSW,109,Calare,1103,Goodooga,H,18599,0,H Ticket Votes,What Women Want (Australia),1
NSW,109,Calare,1103,Goodooga,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,109,Calare,1103,Goodooga,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,109,Calare,1103,Goodooga,I,18584,0,I Ticket Votes,LDP,0
NSW,109,Calare,1103,Goodooga,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,109,Calare,1103,Goodooga,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,109,Calare,1103,Goodooga,J,18579,0,J Ticket Votes,,0
NSW,109,Calare,1103,Goodooga,J,17444,1,"BRYCE, Ian R",,0
NSW,109,Calare,1103,Goodooga,J,17445,2,"AUGUST, John P",,0
NSW,109,Calare,1103,Goodooga,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,109,Calare,1103,Goodooga,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,109,Calare,1103,Goodooga,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,109,Calare,1103,Goodooga,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,109,Calare,1103,Goodooga,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,109,Calare,1103,Goodooga,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,109,Calare,1103,Goodooga,M,18592,0,M Ticket Votes,Democrats,1
NSW,109,Calare,1103,Goodooga,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,109,Calare,1103,Goodooga,M,18289,2,"KING, David",Democrats,0
NSW,109,Calare,1103,Goodooga,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,109,Calare,1103,Goodooga,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,109,Calare,1103,Goodooga,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,109,Calare,1103,Goodooga,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,109,Calare,1103,Goodooga,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,7
NSW,109,Calare,1103,Goodooga,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,1103,Goodooga,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,109,Calare,1103,Goodooga,P,18597,0,P Ticket Votes,,1
NSW,109,Calare,1103,Goodooga,P,18500,1,"WOLDRING, Klaas",,0
NSW,109,Calare,1103,Goodooga,P,18501,2,"BRADLEY, Max",,0
NSW,109,Calare,1103,Goodooga,Q,18594,0,Q Ticket Votes,The Fishing Party,1
