2007 Federal Election Senate First Preferences By Polling Place for Division 117 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:45:30 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,117,Eden-Monaro,690,Central Tilba,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,G,18581,0,G Ticket Votes,The Greens,71
NSW,117,Eden-Monaro,690,Central Tilba,G,17433,1,"NETTLE, Kerry",The Greens,11
NSW,117,Eden-Monaro,690,Central Tilba,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,117,Eden-Monaro,690,Central Tilba,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,117,Eden-Monaro,690,Central Tilba,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,117,Eden-Monaro,690,Central Tilba,G,17441,5,"HO, Christina",The Greens,0
NSW,117,Eden-Monaro,690,Central Tilba,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,117,Eden-Monaro,690,Central Tilba,H,18599,0,H Ticket Votes,What Women Want (Australia),0
NSW,117,Eden-Monaro,690,Central Tilba,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,117,Eden-Monaro,690,Central Tilba,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,117,Eden-Monaro,690,Central Tilba,I,18584,0,I Ticket Votes,LDP,0
NSW,117,Eden-Monaro,690,Central Tilba,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,117,Eden-Monaro,690,Central Tilba,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,117,Eden-Monaro,690,Central Tilba,J,18579,0,J Ticket Votes,,0
NSW,117,Eden-Monaro,690,Central Tilba,J,17444,1,"BRYCE, Ian R",,0
NSW,117,Eden-Monaro,690,Central Tilba,J,17445,2,"AUGUST, John P",,0
NSW,117,Eden-Monaro,690,Central Tilba,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,117,Eden-Monaro,690,Central Tilba,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,117,Eden-Monaro,690,Central Tilba,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,117,Eden-Monaro,690,Central Tilba,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,117,Eden-Monaro,690,Central Tilba,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,117,Eden-Monaro,690,Central Tilba,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,117,Eden-Monaro,690,Central Tilba,M,18592,0,M Ticket Votes,Democrats,0
NSW,117,Eden-Monaro,690,Central Tilba,M,18288,1,"SHUMACK, Lyn",Democrats,1
NSW,117,Eden-Monaro,690,Central Tilba,M,18289,2,"KING, David",Democrats,0
NSW,117,Eden-Monaro,690,Central Tilba,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,117,Eden-Monaro,690,Central Tilba,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,690,Central Tilba,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,690,Central Tilba,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,690,Central Tilba,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,2
NSW,117,Eden-Monaro,690,Central Tilba,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,117,Eden-Monaro,690,Central Tilba,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,117,Eden-Monaro,690,Central Tilba,P,18597,0,P Ticket Votes,,0
NSW,117,Eden-Monaro,690,Central Tilba,P,18500,1,"WOLDRING, Klaas",,0
NSW,117,Eden-Monaro,690,Central Tilba,P,18501,2,"BRADLEY, Max",,0
NSW,117,Eden-Monaro,690,Central Tilba,Q,18594,0,Q Ticket Votes,The Fishing Party,1
NSW,117,Eden-Monaro,690,Central Tilba,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,117,Eden-Monaro,690,Central Tilba,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,117,Eden-Monaro,690,Central Tilba,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),5
NSW,117,Eden-Monaro,690,Central Tilba,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,690,Central Tilba,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,690,Central Tilba,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,690,Central Tilba,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,690,Central Tilba,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,690,Central Tilba,S,18586,0,S Ticket Votes,One Nation,3
NSW,117,Eden-Monaro,690,Central Tilba,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,117,Eden-Monaro,690,Central Tilba,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,117,Eden-Monaro,690,Central Tilba,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,117,Eden-Monaro,690,Central Tilba,S,17830,4,"FREW, Andy",One Nation,0
NSW,117,Eden-Monaro,690,Central Tilba,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,690,Central Tilba,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,690,Central Tilba,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,690,Central Tilba,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,4
NSW,117,Eden-Monaro,690,Central Tilba,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,0
NSW,117,Eden-Monaro,690,Central Tilba,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,117,Eden-Monaro,690,Central Tilba,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,117,Eden-Monaro,690,Central Tilba,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,117,Eden-Monaro,690,Central Tilba,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,117,Eden-Monaro,690,Central Tilba,V,18576,0,V Ticket Votes,,0
NSW,117,Eden-Monaro,690,Central Tilba,V,17217,1,"TINYOW, Walter",,0
NSW,117,Eden-Monaro,690,Central Tilba,V,17218,2,"CHAN, Maria",,0
NSW,117,Eden-Monaro,690,Central Tilba,W,18580,0,W Ticket Votes,Labor,96
NSW,117,Eden-Monaro,690,Central Tilba,W,17476,1,"ARBIB, Mark",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,W,17477,2,"CAMERON, Doug",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,W,17479,4,"ESBER, Pierre",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,W,17481,5,"SEATON, Fiona",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,W,17482,6,"JAMES, Pauline",Labor,0
NSW,117,Eden-Monaro,690,Central Tilba,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,117,Eden-Monaro,690,Central Tilba,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,117,Eden-Monaro,690,Central Tilba,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,117,Eden-Monaro,690,Central Tilba,Y,18598,0,Y Ticket Votes,Carers Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,117,Eden-Monaro,690,Central Tilba,UG,18493,1,"NADAS, Paula",Independent,0
NSW,117,Eden-Monaro,690,Central Tilba,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,117,Eden-Monaro,690,Central Tilba,UG,17837,3,"NERO, Silvana",Independent,0
NSW,117,Eden-Monaro,690,Central Tilba,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,117,Eden-Monaro,690,Central Tilba,ZZ,0,99,INFORMAL,,5
NSW,117,Eden-Monaro,691,Cobargo,A,18583,0,A Ticket Votes,Liberal/Nationals,275
NSW,117,Eden-Monaro,691,Cobargo,A,17820,1,"COONAN, Helen",Liberal,2
NSW,117,Eden-Monaro,691,Cobargo,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,117,Eden-Monaro,691,Cobargo,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,117,Eden-Monaro,691,Cobargo,A,17823,4,"LEES, Murray",Nationals,0
NSW,117,Eden-Monaro,691,Cobargo,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,117,Eden-Monaro,691,Cobargo,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,117,Eden-Monaro,691,Cobargo,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,117,Eden-Monaro,691,Cobargo,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,117,Eden-Monaro,691,Cobargo,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,117,Eden-Monaro,691,Cobargo,C,18582,0,C Ticket Votes,Family First,7
NSW,117,Eden-Monaro,691,Cobargo,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,117,Eden-Monaro,691,Cobargo,C,17819,2,"GRAY, Kathy",Family First,0
NSW,117,Eden-Monaro,691,Cobargo,D,18596,0,D Ticket Votes,Pauline,5
NSW,117,Eden-Monaro,691,Cobargo,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,117,Eden-Monaro,691,Cobargo,D,18499,2,"CARTER, John E",Pauline,0
NSW,117,Eden-Monaro,691,Cobargo,E,18593,0,E Ticket Votes,Climate Change Coalition,7
NSW,117,Eden-Monaro,691,Cobargo,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,1
NSW,117,Eden-Monaro,691,Cobargo,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,1
NSW,117,Eden-Monaro,691,Cobargo,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,G,18581,0,G Ticket Votes,The Greens,109
NSW,117,Eden-Monaro,691,Cobargo,G,17433,1,"NETTLE, Kerry",The Greens,11
NSW,117,Eden-Monaro,691,Cobargo,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,117,Eden-Monaro,691,Cobargo,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,117,Eden-Monaro,691,Cobargo,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,117,Eden-Monaro,691,Cobargo,G,17441,5,"HO, Christina",The Greens,1
NSW,117,Eden-Monaro,691,Cobargo,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,117,Eden-Monaro,691,Cobargo,H,18599,0,H Ticket Votes,What Women Want (Australia),5
NSW,117,Eden-Monaro,691,Cobargo,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,117,Eden-Monaro,691,Cobargo,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,117,Eden-Monaro,691,Cobargo,I,18584,0,I Ticket Votes,LDP,3
NSW,117,Eden-Monaro,691,Cobargo,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,117,Eden-Monaro,691,Cobargo,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,117,Eden-Monaro,691,Cobargo,J,18579,0,J Ticket Votes,,0
NSW,117,Eden-Monaro,691,Cobargo,J,17444,1,"BRYCE, Ian R",,0
NSW,117,Eden-Monaro,691,Cobargo,J,17445,2,"AUGUST, John P",,0
NSW,117,Eden-Monaro,691,Cobargo,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,117,Eden-Monaro,691,Cobargo,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,117,Eden-Monaro,691,Cobargo,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,117,Eden-Monaro,691,Cobargo,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,117,Eden-Monaro,691,Cobargo,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,117,Eden-Monaro,691,Cobargo,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,117,Eden-Monaro,691,Cobargo,M,18592,0,M Ticket Votes,Democrats,5
NSW,117,Eden-Monaro,691,Cobargo,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,117,Eden-Monaro,691,Cobargo,M,18289,2,"KING, David",Democrats,0
NSW,117,Eden-Monaro,691,Cobargo,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,117,Eden-Monaro,691,Cobargo,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,691,Cobargo,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,691,Cobargo,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,691,Cobargo,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,13
NSW,117,Eden-Monaro,691,Cobargo,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,1
NSW,117,Eden-Monaro,691,Cobargo,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,117,Eden-Monaro,691,Cobargo,P,18597,0,P Ticket Votes,,0
NSW,117,Eden-Monaro,691,Cobargo,P,18500,1,"WOLDRING, Klaas",,0
NSW,117,Eden-Monaro,691,Cobargo,P,18501,2,"BRADLEY, Max",,0
NSW,117,Eden-Monaro,691,Cobargo,Q,18594,0,Q Ticket Votes,The Fishing Party,3
NSW,117,Eden-Monaro,691,Cobargo,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,117,Eden-Monaro,691,Cobargo,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,117,Eden-Monaro,691,Cobargo,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),8
NSW,117,Eden-Monaro,691,Cobargo,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),1
NSW,117,Eden-Monaro,691,Cobargo,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,691,Cobargo,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,691,Cobargo,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,691,Cobargo,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),1
NSW,117,Eden-Monaro,691,Cobargo,S,18586,0,S Ticket Votes,One Nation,6
NSW,117,Eden-Monaro,691,Cobargo,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,117,Eden-Monaro,691,Cobargo,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,117,Eden-Monaro,691,Cobargo,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,117,Eden-Monaro,691,Cobargo,S,17830,4,"FREW, Andy",One Nation,0
NSW,117,Eden-Monaro,691,Cobargo,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,691,Cobargo,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,691,Cobargo,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,691,Cobargo,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,23
NSW,117,Eden-Monaro,691,Cobargo,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,1
NSW,117,Eden-Monaro,691,Cobargo,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,117,Eden-Monaro,691,Cobargo,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,117,Eden-Monaro,691,Cobargo,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,117,Eden-Monaro,691,Cobargo,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,117,Eden-Monaro,691,Cobargo,V,18576,0,V Ticket Votes,,0
NSW,117,Eden-Monaro,691,Cobargo,V,17217,1,"TINYOW, Walter",,0
NSW,117,Eden-Monaro,691,Cobargo,V,17218,2,"CHAN, Maria",,0
NSW,117,Eden-Monaro,691,Cobargo,W,18580,0,W Ticket Votes,Labor,218
NSW,117,Eden-Monaro,691,Cobargo,W,17476,1,"ARBIB, Mark",Labor,1
NSW,117,Eden-Monaro,691,Cobargo,W,17477,2,"CAMERON, Doug",Labor,0
NSW,117,Eden-Monaro,691,Cobargo,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,117,Eden-Monaro,691,Cobargo,W,17479,4,"ESBER, Pierre",Labor,0
NSW,117,Eden-Monaro,691,Cobargo,W,17481,5,"SEATON, Fiona",Labor,0
NSW,117,Eden-Monaro,691,Cobargo,W,17482,6,"JAMES, Pauline",Labor,0
NSW,117,Eden-Monaro,691,Cobargo,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,117,Eden-Monaro,691,Cobargo,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,117,Eden-Monaro,691,Cobargo,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,117,Eden-Monaro,691,Cobargo,Y,18598,0,Y Ticket Votes,Carers Alliance,1
NSW,117,Eden-Monaro,691,Cobargo,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,117,Eden-Monaro,691,Cobargo,UG,18493,1,"NADAS, Paula",Independent,0
NSW,117,Eden-Monaro,691,Cobargo,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,117,Eden-Monaro,691,Cobargo,UG,17837,3,"NERO, Silvana",Independent,0
NSW,117,Eden-Monaro,691,Cobargo,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,117,Eden-Monaro,691,Cobargo,ZZ,0,99,INFORMAL,,12
NSW,117,Eden-Monaro,692,Cooma,A,18583,0,A Ticket Votes,Liberal/Nationals,643
NSW,117,Eden-Monaro,692,Cooma,A,17820,1,"COONAN, Helen",Liberal,7
NSW,117,Eden-Monaro,692,Cooma,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,117,Eden-Monaro,692,Cooma,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,117,Eden-Monaro,692,Cooma,A,17823,4,"LEES, Murray",Nationals,0
NSW,117,Eden-Monaro,692,Cooma,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,117,Eden-Monaro,692,Cooma,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,117,Eden-Monaro,692,Cooma,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,117,Eden-Monaro,692,Cooma,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,117,Eden-Monaro,692,Cooma,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,117,Eden-Monaro,692,Cooma,C,18582,0,C Ticket Votes,Family First,14
NSW,117,Eden-Monaro,692,Cooma,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,117,Eden-Monaro,692,Cooma,C,17819,2,"GRAY, Kathy",Family First,0
NSW,117,Eden-Monaro,692,Cooma,D,18596,0,D Ticket Votes,Pauline,16
NSW,117,Eden-Monaro,692,Cooma,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,117,Eden-Monaro,692,Cooma,D,18499,2,"CARTER, John E",Pauline,0
NSW,117,Eden-Monaro,692,Cooma,E,18593,0,E Ticket Votes,Climate Change Coalition,5
NSW,117,Eden-Monaro,692,Cooma,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,2
NSW,117,Eden-Monaro,692,Cooma,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,117,Eden-Monaro,692,Cooma,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,117,Eden-Monaro,692,Cooma,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,117,Eden-Monaro,692,Cooma,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,117,Eden-Monaro,692,Cooma,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,117,Eden-Monaro,692,Cooma,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,117,Eden-Monaro,692,Cooma,G,18581,0,G Ticket Votes,The Greens,115
NSW,117,Eden-Monaro,692,Cooma,G,17433,1,"NETTLE, Kerry",The Greens,8
NSW,117,Eden-Monaro,692,Cooma,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,117,Eden-Monaro,692,Cooma,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,117,Eden-Monaro,692,Cooma,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,117,Eden-Monaro,692,Cooma,G,17441,5,"HO, Christina",The Greens,0
NSW,117,Eden-Monaro,692,Cooma,G,17442,6,"HEILPERN, Sandra",The Greens,2
NSW,117,Eden-Monaro,692,Cooma,H,18599,0,H Ticket Votes,What Women Want (Australia),10
NSW,117,Eden-Monaro,692,Cooma,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,117,Eden-Monaro,692,Cooma,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,117,Eden-Monaro,692,Cooma,I,18584,0,I Ticket Votes,LDP,5
NSW,117,Eden-Monaro,692,Cooma,I,17825,1,"PETERSEN, Terje",LDP,1
NSW,117,Eden-Monaro,692,Cooma,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,117,Eden-Monaro,692,Cooma,J,18579,0,J Ticket Votes,,1
NSW,117,Eden-Monaro,692,Cooma,J,17444,1,"BRYCE, Ian R",,0
NSW,117,Eden-Monaro,692,Cooma,J,17445,2,"AUGUST, John P",,0
NSW,117,Eden-Monaro,692,Cooma,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,117,Eden-Monaro,692,Cooma,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,117,Eden-Monaro,692,Cooma,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,117,Eden-Monaro,692,Cooma,L,18577,0,L Ticket Votes,Senator On-Line,0
NSW,117,Eden-Monaro,692,Cooma,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,117,Eden-Monaro,692,Cooma,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,117,Eden-Monaro,692,Cooma,M,18592,0,M Ticket Votes,Democrats,14
NSW,117,Eden-Monaro,692,Cooma,M,18288,1,"SHUMACK, Lyn",Democrats,3
NSW,117,Eden-Monaro,692,Cooma,M,18289,2,"KING, David",Democrats,0
NSW,117,Eden-Monaro,692,Cooma,M,18290,3,"PATERSON, Brett",Democrats,2
NSW,117,Eden-Monaro,692,Cooma,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,2
NSW,117,Eden-Monaro,692,Cooma,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,692,Cooma,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,117,Eden-Monaro,692,Cooma,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,24
NSW,117,Eden-Monaro,692,Cooma,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,117,Eden-Monaro,692,Cooma,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,117,Eden-Monaro,692,Cooma,P,18597,0,P Ticket Votes,,0
NSW,117,Eden-Monaro,692,Cooma,P,18500,1,"WOLDRING, Klaas",,0
NSW,117,Eden-Monaro,692,Cooma,P,18501,2,"BRADLEY, Max",,0
NSW,117,Eden-Monaro,692,Cooma,Q,18594,0,Q Ticket Votes,The Fishing Party,12
NSW,117,Eden-Monaro,692,Cooma,Q,18335,1,"BRIDGE, Garth",The Fishing Party,1
NSW,117,Eden-Monaro,692,Cooma,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,117,Eden-Monaro,692,Cooma,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),24
NSW,117,Eden-Monaro,692,Cooma,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,117,Eden-Monaro,692,Cooma,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),1
NSW,117,Eden-Monaro,692,Cooma,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,692,Cooma,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,692,Cooma,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,117,Eden-Monaro,692,Cooma,S,18586,0,S Ticket Votes,One Nation,8
NSW,117,Eden-Monaro,692,Cooma,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,117,Eden-Monaro,692,Cooma,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,117,Eden-Monaro,692,Cooma,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,117,Eden-Monaro,692,Cooma,S,17830,4,"FREW, Andy",One Nation,0
NSW,117,Eden-Monaro,692,Cooma,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,117,Eden-Monaro,692,Cooma,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,692,Cooma,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,117,Eden-Monaro,692,Cooma,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,52
NSW,117,Eden-Monaro,692,Cooma,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,5
